one,two,three
36.0,42.0,37.0
70.0,65.0,53.0
54.0,54.0,62.0
19.0,18.0,11.0
68.0,59.0,64.0
37.0,31.0,37.0
25.0,30.0,31.0
55.0,48.0,52.0
44.0,47.0,44.0
10.0,7.0,9.0
49.0,43.0,43.0
17.0,15.0,12.0
48.0,51.0,55.0
14.0,16.0,14.0
69.0,68.0,73.0
14.0,17.0,11.0
14.0,10.0,12.0
34.0,27.0,31.0
14.0,24.0,19.0
16.0,12.0,16.0
16.0,16.0,20.0
12.0,13.0,11.0
32.0,31.0,31.0
12.0,10.0,13.0
3.0,4.0,2.0
