right 1,left 1,right 2,left 2,right 3,left 3
0.0,0.0,0.0,0.0,-0.5,0.0
0.0,-0.5,-0.5,0.0,-0.9375,-0.5
-0.96875,-1.2462499999999999,-0.9375,-0.9975,-0.9375,-1.2462499999999999
-0.984375,-1.2462499999999999,-0.9375,-0.9975,-0.9375,-1.2462499999999999
-0.984375,-1.2462499999999999,-0.9375,-1.24625,-0.9375,-1.2462499999999999
-0.984375,-1.2462499999999999,-0.96875,-1.24625,-0.9375,-1.2462499999999999
-1.55296875,-1.2462499999999999,-0.998046875,-1.24625,-1.3399999999999999,-1.2462499999999999
-1.55296875,-1.2462499999999999,-0.9990234375,-1.24625,-1.3399999999999999,-1.2462499999999999
-1.55296875,-1.2462499999999999,-0.99993896484375,-1.24625,-1.17,-1.2462499999999999
-1.55296875,-1.2462499999999999,-1.247469482421875,-1.24625,-1.17,-1.2462499999999999
-1.55296875,-1.2462499999999999,-1.247469482421875,-1.24625,-0.08499999999999996,-1.2462499999999999
-1.94751875,-1.74001875,-1.247469482421875,-1.74001875,-1.4945532226562501,-1.74001875
-1.94751875,-1.74001875,-1.1237347412109375,-1.74001875,-1.4945532226562501,-1.74001875
-1.94751875,-1.74001875,-1.9396415893554688,-1.74001875,-1.7423883056640626,-1.74001875
-2.4231655078124996,-2.23131865625,-2.2479762634277343,-2.23131865625,-1.9507410659790039,-2.23131865625
-2.4231655078124996,-2.72016206296875,-2.422706463623047,-2.72016206296875,-2.0085179542102813,-2.72016206296875
-2.4231655078124996,-2.72016206296875,-2.422706463623047,-2.72016206296875,-2.483503941948891,-2.72016206296875
-2.4231655078124996,-2.72016206296875,-1.7113532318115234,-2.72016206296875,-2.483503941948891,-2.72016206296875
-2.4231655078124996,-2.72016206296875,-2.4903136539764406,-2.72016206296875,-2.483503941948891,-2.72016206296875
-2.889309687053222,-2.72016206296875,-2.4903136539764406,-2.72016206296875,-2.295694540174723,-2.72016206296875
-2.889309687053222,-2.72016206296875,-2.4903136539764406,-2.72016206296875,-2.696272096884236,-2.72016206296875
-3.3474598523107906,-3.2065612526539065,-3.186963111249127,-3.2065612526539065,-2.9551575319542795,-3.2065612526539065
-3.3474598523107906,-3.2065612526539065,-3.186963111249127,-3.2065612526539065,-1.9775787659771398,-3.2065612526539065
-3.3474598523107906,-3.690528446390637,-3.361766006335671,-3.690528446390637,-3.3959273597076436,-3.690528446390637
-3.724893273371511,-3.690528446390637,-3.492371454936999,-3.690528446390637,-3.502251568388978,-3.690528446390637
-3.724893273371511,-3.690528446390637,-3.2657688765309993,-3.690528446390637,-3.502251568388978,-3.690528446390637
-3.724893273371511,-3.690528446390637,-3.3662588452967497,-3.690528446390637,-3.502251568388978,-3.690528446390637
-3.724893273371511,-3.690528446390637,-3.451428268739781,-3.690528446390637,-3.502251568388978,-3.690528446390637
-4.118076317592036,-4.172075804158684,-4.018599635733253,-4.172075804158684,-4.010467634971807,-4.172075804158684
-4.118076317592036,-4.172075804158684,-4.018599635733253,-4.172075804158684,-1.5052338174859035,-4.172075804158684
-4.118076317592036,-4.172075804158684,-4.018599635733253,-4.172075804158684,-2.895292020483383,-4.172075804158684
-4.118076317592036,-4.172075804158684,-4.018599635733253,-4.172075804158684,-2.3188960102416916,-4.172075804158684
-4.118076317592036,-4.172075804158684,-4.018599635733253,-4.172075804158684,-1.9069480051208458,-4.172075804158684
-4.599018656151856,-4.172075804158684,-4.20854765676904,-4.172075804158684,-4.2254810146405735,-4.172075804158684
-4.599018656151856,-4.519455700504251,-4.546762942315364,-4.651215425137891,-4.4099943372418995,-4.651215425137891
-4.599018656151856,-4.519455700504251,-4.546762942315364,-4.651215425137891,-4.664341409939958,-4.651215425137891
-4.956262494078779,-4.996858422001729,-4.61838771844587,-4.651215425137891,-4.664341409939958,-4.651215425137891
-4.956262494078779,-4.996858422001729,-1.809193859222935,-4.651215425137891,-4.664341409939958,-4.651215425137891
-4.956262494078779,-4.996858422001729,-3.5847301231662594,-4.651215425137891,-4.664341409939958,-4.651215425137891
-4.956262494078779,-4.996858422001729,-3.840522194107751,-4.651215425137891,-4.664341409939958,-4.651215425137891
-4.956262494078779,-4.996858422001729,-3.5092208241632505,-4.651215425137891,-4.664341409939958,-4.651215425137891
-4.956262494078779,-4.996858422001729,-4.004902596798582,-4.651215425137891,-4.664341409939958,-4.651215425137891
