one,two,three
66.0,68.0,59.0
129.0,132.0,151.0
37.0,38.0,36.0
11.0,14.0,14.0
58.0,68.0,65.0
193.0,215.0,193.0
30.0,24.0,25.0
39.0,47.0,40.0
123.0,120.0,122.0
238.0,227.0,216.0
144.0,139.0,162.0
0.0,4.0,2.0
2.0,2.0,7.0
33.0,25.0,29.0
23.0,20.0,34.0
19.0,19.0,23.0
30.0,35.0,28.0
480.0,475.0,476.0
54.0,58.0,62.0
40.0,27.0,32.0
0.0,0.0,0.0
6.0,7.0,3.0
33.0,38.0,33.0
20.0,21.0,23.0
26.0,33.0,33.0
96.0,96.0,92.0
23.0,15.0,27.0
93.0,88.0,87.0
157.0,147.0,133.0
20.0,24.0,25.0
38.0,44.0,50.0
23.0,39.0,22.0
5.0,6.0,8.0
54.0,55.0,38.0
12.0,11.0,17.0
20.0,23.0,19.0
29.0,22.0,31.0
24.0,22.0,29.0
90.0,74.0,76.0
7.0,4.0,6.0
27.0,24.0,22.0
0.0,2.0,2.0
132.0,155.0,158.0
37.0,28.0,30.0
14.0,10.0,11.0
36.0,49.0,43.0
52.0,40.0,51.0
48.0,26.0,41.0
26.0,26.0,20.0
71.0,61.0,60.0
32.0,27.0,32.0
17.0,15.0,16.0
40.0,35.0,54.0
17.0,10.0,13.0
71.0,86.0,77.0
17.0,13.0,21.0
87.0,83.0,79.0
52.0,49.0,54.0
28.0,21.0,18.0
13.0,17.0,19.0
42.0,41.0,32.0
48.0,56.0,60.0
32.0,46.0,45.0
34.0,34.0,44.0
42.0,34.0,27.0
8.0,8.0,7.0
0.0,0.0,0.0
20.0,16.0,17.0
50.0,53.0,64.0
15.0,11.0,8.0
19.0,20.0,10.0
64.0,58.0,49.0
6.0,9.0,6.0
7.0,11.0,11.0
22.0,37.0,18.0
2.0,8.0,7.0
2.0,3.0,4.0
36.0,26.0,19.0
30.0,16.0,33.0
83.0,102.0,85.0
105.0,72.0,87.0
21.0,19.0,16.0
12.0,8.0,6.0
8.0,5.0,3.0
0.0,1.0,0.0
72.0,66.0,81.0
6.0,7.0,5.0
20.0,20.0,13.0
16.0,18.0,10.0
6.0,6.0,4.0
26.0,25.0,30.0
4.0,8.0,4.0
40.0,44.0,51.0
105.0,91.0,97.0
17.0,16.0,4.0
23.0,26.0,19.0
57.0,69.0,60.0
56.0,46.0,46.0
6.0,6.0,4.0
124.0,107.0,128.0
22.0,20.0,19.0
62.0,55.0,62.0
59.0,52.0,50.0
51.0,44.0,54.0
9.0,5.0,5.0
75.0,103.0,81.0
5.0,4.0,1.0
30.0,27.0,23.0
0.0,0.0,0.0
10.0,13.0,6.0
5.0,4.0,7.0
1.0,0.0,0.0
24.0,21.0,20.0
82.0,81.0,99.0
9.0,7.0,7.0
40.0,42.0,46.0
7.0,7.0,5.0
0.0,1.0,0.0
47.0,39.0,47.0
7.0,1.0,9.0
20.0,14.0,22.0
10.0,7.0,8.0
3.0,4.0,0.0
28.0,24.0,27.0
128.0,145.0,143.0
101.0,105.0,101.0
10.0,9.0,9.0
32.0,33.0,39.0
19.0,14.0,21.0
92.0,112.0,106.0
38.0,29.0,24.0
56.0,59.0,72.0
52.0,49.0,61.0
3.0,4.0,3.0
27.0,34.0,26.0
41.0,30.0,39.0
88.0,88.0,97.0
13.0,9.0,12.0
22.0,19.0,11.0
14.0,16.0,14.0
87.0,96.0,94.0
6.0,4.0,3.0
15.0,14.0,18.0
20.0,27.0,17.0
1.0,1.0,2.0
16.0,12.0,10.0
15.0,10.0,13.0
14.0,13.0,13.0
28.0,23.0,23.0
12.0,28.0,21.0
4.0,3.0,5.0
46.0,43.0,48.0
1.0,2.0,0.0
6.0,13.0,9.0
4.0,2.0,7.0
6.0,5.0,4.0
23.0,22.0,25.0
14.0,18.0,12.0
14.0,11.0,11.0
86.0,87.0,83.0
37.0,20.0,30.0
2.0,2.0,1.0
27.0,26.0,19.0
2.0,2.0,2.0
34.0,37.0,39.0
5.0,5.0,4.0
6.0,4.0,1.0
2.0,4.0,4.0
1.0,1.0,2.0
3.0,1.0,2.0
9.0,8.0,6.0
19.0,17.0,19.0
4.0,3.0,5.0
1.0,0.0,0.0
7.0,12.0,7.0
19.0,18.0,14.0
6.0,8.0,6.0
6.0,9.0,8.0
20.0,18.0,23.0
111.0,112.0,99.0
