one,two,three
52.0,48.0,35.0
1.0,1.0,2.0
31.0,37.0,29.0
37.0,38.0,36.0
0.0,0.0,0.0
166.0,175.0,186.0
52.0,34.0,44.0
5.0,2.0,6.0
18.0,16.0,20.0
32.0,28.0,28.0
278.0,286.0,283.0
31.0,14.0,33.0
29.0,24.0,24.0
15.0,21.0,19.0
11.0,5.0,19.0
155.0,154.0,156.0
67.0,45.0,60.0
182.0,170.0,185.0
62.0,43.0,46.0
51.0,56.0,56.0
11.0,8.0,7.0
31.0,23.0,21.0
151.0,129.0,134.0
123.0,114.0,95.0
106.0,123.0,83.0
65.0,75.0,70.0
134.0,125.0,102.0
6.0,5.0,6.0
48.0,34.0,42.0
51.0,50.0,40.0
12.0,13.0,18.0
160.0,141.0,157.0
20.0,20.0,22.0
89.0,80.0,101.0
63.0,63.0,68.0
45.0,44.0,49.0
48.0,60.0,55.0
104.0,104.0,98.0
148.0,155.0,119.0
17.0,20.0,12.0
84.0,85.0,92.0
5.0,4.0,9.0
13.0,17.0,8.0
62.0,40.0,53.0
55.0,64.0,61.0
7.0,12.0,7.0
38.0,29.0,37.0
27.0,27.0,27.0
14.0,10.0,17.0
22.0,21.0,20.0
124.0,133.0,140.0
162.0,177.0,174.0
29.0,28.0,23.0
211.0,225.0,202.0
15.0,18.0,9.0
47.0,30.0,40.0
4.0,6.0,7.0
10.0,12.0,10.0
34.0,32.0,39.0
57.0,60.0,69.0
16.0,21.0,19.0
0.0,0.0,0.0
110.0,148.0,129.0
15.0,12.0,12.0
30.0,41.0,40.0
5.0,7.0,4.0
9.0,8.0,8.0
35.0,39.0,23.0
27.0,20.0,28.0
35.0,36.0,50.0
8.0,10.0,9.0
13.0,20.0,13.0
66.0,71.0,71.0
216.0,207.0,192.0
18.0,20.0,21.0
21.0,12.0,18.0
33.0,40.0,42.0
14.0,12.0,13.0
14.0,2.0,8.0
28.0,23.0,30.0
62.0,60.0,56.0
78.0,83.0,61.0
9.0,11.0,9.0
31.0,19.0,22.0
62.0,58.0,49.0
40.0,55.0,57.0
8.0,9.0,5.0
16.0,23.0,20.0
22.0,21.0,22.0
6.0,10.0,11.0
240.0,226.0,227.0
59.0,58.0,66.0
51.0,67.0,54.0
1.0,3.0,5.0
26.0,25.0,19.0
74.0,56.0,80.0
1.0,5.0,4.0
3.0,3.0,1.0
63.0,39.0,57.0
17.0,16.0,9.0
176.0,174.0,169.0
112.0,100.0,97.0
3.0,2.0,5.0
3.0,3.0,1.0
7.0,5.0,3.0
17.0,9.0,16.0
223.0,216.0,227.0
52.0,46.0,47.0
112.0,114.0,140.0
25.0,22.0,28.0
79.0,88.0,91.0
16.0,23.0,19.0
6.0,4.0,11.0
6.0,16.0,7.0
4.0,4.0,3.0
22.0,28.0,24.0
0.0,0.0,0.0
15.0,19.0,13.0
31.0,30.0,37.0
39.0,38.0,41.0
0.0,0.0,0.0
51.0,45.0,56.0
20.0,15.0,22.0
8.0,8.0,3.0
0.0,0.0,0.0
56.0,49.0,52.0
10.0,17.0,12.0
11.0,13.0,7.0
3.0,3.0,0.0
13.0,17.0,17.0
12.0,13.0,18.0
48.0,55.0,63.0
22.0,20.0,13.0
16.0,18.0,9.0
5.0,5.0,6.0
18.0,16.0,16.0
57.0,64.0,73.0
18.0,12.0,14.0
0.0,0.0,0.0
2.0,7.0,4.0
15.0,32.0,28.0
0.0,0.0,0.0
1.0,2.0,1.0
14.0,10.0,12.0
29.0,39.0,38.0
0.0,0.0,1.0
13.0,11.0,14.0
10.0,14.0,15.0
10.0,6.0,3.0
194.0,201.0,210.0
47.0,60.0,50.0
28.0,20.0,32.0
14.0,8.0,10.0
16.0,14.0,21.0
13.0,7.0,13.0
27.0,20.0,21.0
1.0,1.0,2.0
1.0,0.0,0.0
11.0,12.0,11.0
28.0,27.0,30.0
8.0,4.0,3.0
51.0,55.0,49.0
16.0,9.0,18.0
16.0,12.0,10.0
0.0,0.0,1.0
12.0,5.0,9.0
7.0,9.0,2.0
6.0,14.0,6.0
36.0,31.0,26.0
44.0,56.0,62.0
5.0,2.0,3.0
76.0,82.0,78.0
11.0,7.0,8.0
6.0,6.0,10.0
34.0,31.0,29.0
18.0,25.0,19.0
18.0,9.0,11.0
27.0,38.0,30.0
27.0,31.0,33.0
13.0,12.0,19.0
30.0,20.0,19.0
27.0,24.0,30.0
6.0,4.0,4.0
7.0,2.0,5.0
9.0,8.0,10.0
18.0,12.0,21.0
78.0,69.0,74.0
13.0,12.0,16.0
4.0,3.0,4.0
41.0,31.0,33.0
3.0,2.0,4.0
6.0,7.0,8.0
4.0,5.0,10.0
19.0,14.0,11.0
1.0,0.0,0.0
1.0,2.0,2.0
2.0,2.0,1.0
8.0,10.0,15.0
19.0,18.0,19.0
24.0,27.0,24.0
3.0,9.0,7.0
7.0,8.0,6.0
27.0,16.0,17.0
4.0,3.0,2.0
16.0,16.0,10.0
14.0,6.0,9.0
20.0,15.0,14.0
32.0,36.0,31.0
2.0,3.0,2.0
3.0,0.0,3.0
8.0,6.0,10.0
0.0,0.0,0.0
8.0,8.0,5.0
10.0,15.0,15.0
6.0,3.0,2.0
5.0,4.0,7.0
74.0,82.0,81.0
26.0,18.0,24.0
4.0,4.0,1.0
28.0,24.0,20.0
7.0,8.0,4.0
17.0,29.0,26.0
6.0,3.0,5.0
35.0,22.0,24.0
2.0,1.0,2.0
4.0,8.0,5.0
11.0,7.0,8.0
19.0,25.0,18.0
4.0,1.0,2.0
8.0,16.0,8.0
13.0,11.0,10.0
8.0,12.0,5.0
5.0,4.0,8.0
18.0,26.0,24.0
9.0,4.0,7.0
2.0,1.0,0.0
27.0,23.0,23.0
13.0,16.0,14.0
2.0,6.0,6.0
12.0,4.0,8.0
21.0,10.0,11.0
3.0,1.0,1.0
14.0,7.0,11.0
8.0,7.0,5.0
10.0,12.0,13.0
10.0,6.0,8.0
15.0,22.0,16.0
10.0,15.0,18.0
7.0,4.0,5.0
21.0,16.0,11.0
21.0,16.0,26.0
5.0,10.0,6.0
40.0,44.0,33.0
6.0,8.0,8.0
15.0,21.0,13.0
38.0,45.0,47.0
1.0,1.0,2.0
213.0,209.0,196.0
11.0,9.0,10.0
16.0,21.0,18.0
10.0,17.0,9.0
4.0,8.0,4.0
33.0,26.0,29.0
0.0,0.0,0.0
26.0,25.0,32.0
5.0,4.0,2.0
82.0,91.0,82.0
16.0,12.0,11.0
12.0,19.0,11.0
12.0,14.0,15.0
42.0,50.0,58.0
167.0,169.0,168.0
3.0,6.0,2.0
17.0,13.0,15.0
9.0,12.0,17.0
19.0,24.0,24.0
38.0,39.0,44.0
54.0,41.0,46.0
38.0,39.0,37.0
15.0,14.0,20.0
33.0,36.0,28.0
24.0,21.0,24.0
45.0,33.0,45.0
2.0,7.0,4.0
7.0,8.0,10.0
0.0,0.0,0.0
49.0,56.0,46.0
8.0,5.0,8.0
10.0,11.0,14.0
11.0,12.0,10.0
51.0,51.0,53.0
11.0,6.0,11.0
9.0,6.0,10.0
0.0,1.0,0.0
17.0,29.0,32.0
13.0,15.0,7.0
15.0,19.0,17.0
17.0,23.0,15.0
4.0,5.0,7.0
36.0,23.0,26.0
69.0,70.0,69.0
28.0,26.0,30.0
45.0,50.0,42.0
67.0,53.0,46.0
0.0,1.0,0.0
16.0,20.0,15.0
15.0,11.0,10.0
1.0,2.0,3.0
15.0,13.0,20.0
3.0,1.0,4.0
93.0,80.0,95.0
40.0,21.0,39.0
19.0,17.0,17.0
16.0,13.0,21.0
63.0,71.0,57.0
10.0,8.0,7.0
46.0,42.0,36.0
18.0,20.0,25.0
6.0,6.0,13.0
37.0,29.0,32.0
10.0,15.0,13.0
77.0,76.0,66.0
0.0,0.0,0.0
10.0,8.0,15.0
15.0,14.0,18.0
4.0,2.0,2.0
49.0,46.0,62.0
3.0,6.0,4.0
18.0,17.0,19.0
22.0,19.0,23.0
101.0,100.0,109.0
173.0,152.0,170.0
36.0,35.0,25.0
4.0,5.0,1.0
50.0,41.0,48.0
13.0,11.0,16.0
34.0,31.0,22.0
20.0,15.0,26.0
16.0,27.0,19.0
33.0,29.0,26.0
97.0,106.0,100.0
26.0,36.0,29.0
57.0,53.0,69.0
65.0,74.0,75.0
11.0,13.0,14.0
27.0,39.0,40.0
11.0,5.0,5.0
59.0,61.0,45.0
142.0,136.0,124.0
33.0,21.0,23.0
164.0,152.0,155.0
41.0,24.0,34.0
14.0,14.0,14.0
38.0,42.0,46.0
186.0,189.0,201.0
20.0,24.0,16.0
38.0,48.0,50.0
296.0,303.0,280.0
70.0,77.0,76.0
39.0,49.0,50.0
43.0,51.0,48.0
22.0,28.0,26.0
30.0,37.0,33.0
14.0,4.0,11.0
17.0,16.0,24.0
104.0,110.0,107.0
39.0,50.0,39.0
248.0,222.0,235.0
61.0,60.0,64.0
26.0,26.0,28.0
1.0,1.0,2.0
15.0,14.0,20.0
4.0,4.0,2.0
27.0,37.0,40.0
3.0,0.0,0.0
31.0,26.0,24.0
16.0,11.0,10.0
97.0,103.0,113.0
23.0,21.0,31.0
52.0,45.0,41.0
32.0,26.0,36.0
14.0,16.0,18.0
109.0,95.0,92.0
44.0,55.0,44.0
14.0,14.0,17.0
146.0,156.0,167.0
4.0,2.0,2.0
22.0,33.0,16.0
126.0,119.0,120.0
190.0,199.0,174.0
10.0,6.0,3.0
43.0,36.0,38.0
20.0,18.0,16.0
51.0,34.0,58.0
7.0,11.0,10.0
9.0,14.0,5.0
0.0,1.0,0.0
76.0,68.0,72.0
5.0,3.0,3.0
19.0,19.0,21.0
12.0,12.0,15.0
9.0,11.0,8.0
6.0,3.0,5.0
4.0,2.0,0.0
3.0,4.0,0.0
114.0,93.0,91.0
7.0,4.0,4.0
3.0,3.0,1.0
18.0,16.0,17.0
37.0,31.0,46.0
12.0,15.0,18.0
6.0,7.0,9.0
4.0,6.0,7.0
4.0,6.0,1.0
4.0,4.0,2.0
33.0,36.0,28.0
25.0,14.0,21.0
19.0,20.0,21.0
9.0,9.0,8.0
9.0,5.0,10.0
36.0,44.0,53.0
2.0,6.0,7.0
12.0,9.0,12.0
42.0,44.0,43.0
38.0,48.0,41.0
14.0,8.0,12.0
1.0,1.0,1.0
18.0,35.0,17.0
31.0,33.0,30.0
30.0,13.0,27.0
29.0,30.0,31.0
12.0,11.0,16.0
13.0,7.0,8.0
15.0,11.0,16.0
10.0,6.0,10.0
15.0,10.0,12.0
33.0,32.0,29.0
36.0,36.0,29.0
0.0,0.0,1.0
43.0,32.0,35.0
55.0,63.0,48.0
9.0,9.0,10.0
5.0,5.0,5.0
10.0,23.0,14.0
36.0,51.0,35.0
26.0,29.0,29.0
47.0,32.0,48.0
17.0,13.0,10.0
8.0,7.0,6.0
17.0,16.0,25.0
17.0,29.0,19.0
23.0,20.0,17.0
8.0,3.0,3.0
13.0,14.0,13.0
3.0,5.0,5.0
5.0,7.0,4.0
2.0,2.0,4.0
16.0,12.0,10.0
2.0,2.0,1.0
3.0,3.0,1.0
16.0,15.0,11.0
8.0,9.0,13.0
18.0,12.0,12.0
12.0,3.0,8.0
12.0,18.0,15.0
1.0,4.0,0.0
36.0,38.0,25.0
1.0,5.0,6.0
5.0,8.0,5.0
4.0,3.0,3.0
31.0,51.0,43.0
32.0,31.0,36.0
15.0,12.0,12.0
4.0,4.0,2.0
12.0,13.0,24.0
8.0,8.0,4.0
27.0,21.0,23.0
6.0,8.0,8.0
0.0,0.0,0.0
35.0,28.0,36.0
30.0,41.0,31.0
3.0,4.0,3.0
6.0,5.0,4.0
2.0,4.0,3.0
65.0,70.0,59.0
0.0,1.0,1.0
0.0,0.0,0.0
6.0,7.0,9.0
1.0,3.0,1.0
3.0,3.0,5.0
50.0,58.0,53.0
0.0,0.0,0.0
4.0,6.0,4.0
70.0,68.0,72.0
54.0,46.0,42.0
27.0,28.0,24.0
0.0,1.0,0.0
35.0,34.0,35.0
13.0,11.0,12.0
26.0,25.0,19.0
2.0,2.0,6.0
33.0,31.0,27.0
5.0,3.0,3.0
53.0,53.0,50.0
17.0,22.0,17.0
0.0,0.0,1.0
26.0,25.0,17.0
78.0,66.0,76.0
3.0,12.0,10.0
6.0,9.0,7.0
32.0,19.0,24.0
12.0,10.0,13.0
32.0,33.0,33.0
3.0,2.0,1.0
18.0,14.0,14.0
9.0,10.0,11.0
15.0,4.0,10.0
10.0,6.0,7.0
5.0,5.0,2.0
15.0,11.0,10.0
2.0,1.0,4.0
6.0,3.0,5.0
5.0,7.0,3.0
11.0,12.0,14.0
7.0,7.0,2.0
47.0,30.0,49.0
74.0,56.0,59.0
12.0,12.0,15.0
18.0,12.0,19.0
25.0,27.0,25.0
2.0,4.0,7.0
5.0,3.0,0.0
52.0,43.0,49.0
3.0,1.0,2.0
42.0,49.0,52.0
1.0,4.0,4.0
41.0,28.0,31.0
32.0,27.0,25.0
5.0,3.0,5.0
32.0,31.0,36.0
2.0,6.0,4.0
17.0,11.0,19.0
22.0,18.0,19.0
49.0,44.0,60.0
11.0,12.0,23.0
36.0,40.0,39.0
7.0,2.0,2.0
0.0,0.0,0.0
8.0,4.0,6.0
7.0,15.0,18.0
7.0,11.0,11.0
0.0,0.0,0.0
11.0,8.0,8.0
31.0,36.0,30.0
0.0,0.0,0.0
10.0,4.0,11.0
7.0,5.0,7.0
9.0,11.0,8.0
14.0,16.0,19.0
7.0,15.0,18.0
25.0,19.0,14.0
1.0,0.0,0.0
30.0,24.0,30.0
3.0,1.0,0.0
28.0,34.0,26.0
3.0,5.0,3.0
9.0,8.0,6.0
7.0,12.0,12.0
36.0,37.0,41.0
32.0,32.0,35.0
61.0,49.0,74.0
4.0,1.0,2.0
8.0,6.0,5.0
54.0,26.0,31.0
13.0,11.0,6.0
11.0,7.0,5.0
37.0,25.0,37.0
18.0,26.0,16.0
14.0,16.0,13.0
14.0,4.0,13.0
5.0,5.0,5.0
8.0,6.0,10.0
8.0,3.0,4.0
14.0,10.0,8.0
20.0,23.0,17.0
6.0,6.0,5.0
2.0,2.0,2.0
95.0,110.0,118.0
63.0,35.0,50.0
3.0,1.0,2.0
21.0,14.0,9.0
13.0,11.0,12.0
0.0,1.0,0.0
11.0,8.0,6.0
11.0,11.0,12.0
100.0,108.0,112.0
7.0,5.0,5.0
8.0,6.0,7.0
31.0,36.0,31.0
44.0,36.0,39.0
10.0,4.0,11.0
19.0,18.0,16.0
25.0,23.0,13.0
0.0,0.0,0.0
26.0,30.0,34.0
8.0,6.0,9.0
