one,two,three
24.0,30.0,29.0
5.0,4.0,4.0
9.0,4.0,5.0
8.0,4.0,9.0
1.0,5.0,1.0
5.0,3.0,7.0
0.0,0.0,0.0
4.0,4.0,1.0
2.0,6.0,10.0
2.0,4.0,2.0
3.0,3.0,4.0
4.0,3.0,4.0
2.0,4.0,3.0
1.0,1.0,0.0
4.0,8.0,2.0
3.0,4.0,5.0
3.0,1.0,2.0
3.0,3.0,3.0
3.0,0.0,1.0
2.0,2.0,2.0
4.0,5.0,3.0
2.0,4.0,1.0
1.0,0.0,4.0
22.0,15.0,17.0
7.0,5.0,3.0
3.0,2.0,5.0
6.0,7.0,8.0
20.0,13.0,24.0
1.0,0.0,0.0
29.0,18.0,15.0
1.0,4.0,3.0
2.0,0.0,2.0
4.0,7.0,2.0
1.0,2.0,1.0
5.0,7.0,0.0
0.0,3.0,1.0
21.0,46.0,37.0
7.0,4.0,3.0
3.0,5.0,5.0
0.0,2.0,2.0
43.0,53.0,58.0
22.0,32.0,33.0
7.0,7.0,8.0
7.0,8.0,8.0
1.0,4.0,0.0
3.0,3.0,5.0
4.0,2.0,2.0
5.0,2.0,1.0
5.0,5.0,5.0
7.0,6.0,4.0
5.0,3.0,12.0
6.0,9.0,7.0
1.0,2.0,1.0
12.0,13.0,10.0
5.0,4.0,2.0
7.0,2.0,1.0
7.0,6.0,5.0
0.0,1.0,0.0
17.0,10.0,13.0
4.0,9.0,7.0
9.0,12.0,6.0
33.0,15.0,26.0
29.0,28.0,17.0
13.0,10.0,11.0
11.0,10.0,12.0
4.0,7.0,6.0
7.0,7.0,7.0
2.0,0.0,1.0
6.0,5.0,2.0
7.0,1.0,8.0
0.0,2.0,2.0
3.0,10.0,2.0
4.0,5.0,4.0
16.0,13.0,16.0
7.0,8.0,9.0
9.0,7.0,4.0
1.0,3.0,3.0
3.0,2.0,2.0
2.0,0.0,2.0
5.0,4.0,8.0
6.0,8.0,9.0
2.0,0.0,2.0
5.0,4.0,8.0
2.0,3.0,1.0
2.0,1.0,0.0
4.0,3.0,0.0
6.0,5.0,2.0
7.0,14.0,5.0
13.0,8.0,11.0
0.0,2.0,4.0
4.0,5.0,7.0
1.0,1.0,2.0
0.0,0.0,0.0
2.0,3.0,1.0
3.0,4.0,3.0
1.0,1.0,0.0
2.0,3.0,0.0
10.0,7.0,11.0
3.0,3.0,1.0
6.0,7.0,10.0
2.0,2.0,1.0
15.0,17.0,9.0
7.0,3.0,2.0
0.0,0.0,0.0
4.0,10.0,6.0
18.0,18.0,12.0
4.0,2.0,2.0
9.0,13.0,11.0
9.0,10.0,4.0
4.0,1.0,1.0
13.0,12.0,8.0
2.0,2.0,1.0
2.0,1.0,3.0
7.0,11.0,4.0
1.0,1.0,4.0
3.0,2.0,6.0
5.0,4.0,6.0
4.0,5.0,1.0
4.0,4.0,2.0
1.0,0.0,0.0
1.0,4.0,0.0
2.0,1.0,3.0
2.0,0.0,4.0
8.0,10.0,7.0
3.0,2.0,3.0
1.0,0.0,0.0
7.0,5.0,2.0
2.0,0.0,2.0
1.0,2.0,0.0
1.0,4.0,5.0
10.0,4.0,5.0
1.0,3.0,4.0
1.0,3.0,1.0
5.0,3.0,9.0
3.0,3.0,2.0
6.0,5.0,4.0
8.0,5.0,4.0
9.0,6.0,8.0
3.0,2.0,2.0
5.0,3.0,0.0
2.0,5.0,3.0
10.0,8.0,5.0
3.0,2.0,5.0
4.0,2.0,0.0
5.0,3.0,4.0
22.0,10.0,10.0
3.0,5.0,4.0
3.0,2.0,1.0
0.0,0.0,0.0
1.0,3.0,2.0
3.0,2.0,2.0
9.0,3.0,4.0
3.0,0.0,1.0
9.0,6.0,9.0
1.0,3.0,3.0
15.0,8.0,17.0
2.0,1.0,0.0
1.0,0.0,3.0
3.0,2.0,1.0
3.0,3.0,1.0
2.0,1.0,0.0
4.0,2.0,2.0
15.0,11.0,8.0
7.0,5.0,5.0
6.0,1.0,6.0
2.0,7.0,4.0
1.0,5.0,5.0
5.0,8.0,3.0
0.0,4.0,0.0
2.0,3.0,3.0
0.0,3.0,4.0
1.0,2.0,2.0
6.0,1.0,4.0
7.0,5.0,4.0
2.0,1.0,2.0
2.0,5.0,2.0
3.0,3.0,5.0
4.0,0.0,3.0
6.0,4.0,2.0
5.0,0.0,2.0
0.0,1.0,0.0
3.0,1.0,5.0
3.0,6.0,6.0
2.0,3.0,1.0
1.0,4.0,2.0
6.0,4.0,3.0
1.0,1.0,1.0
6.0,8.0,6.0
3.0,1.0,3.0
1.0,0.0,0.0
2.0,1.0,3.0
9.0,10.0,5.0
0.0,3.0,2.0
3.0,1.0,3.0
37.0,37.0,33.0
0.0,2.0,0.0
0.0,0.0,0.0
0.0,3.0,1.0
5.0,6.0,3.0
1.0,0.0,2.0
0.0,2.0,3.0
1.0,0.0,0.0
1.0,2.0,1.0
3.0,9.0,3.0
4.0,5.0,12.0
2.0,3.0,5.0
1.0,3.0,3.0
1.0,1.0,1.0
3.0,2.0,2.0
13.0,13.0,11.0
3.0,3.0,0.0
9.0,7.0,11.0
4.0,2.0,6.0
3.0,4.0,2.0
5.0,4.0,0.0
4.0,9.0,3.0
2.0,1.0,2.0
2.0,1.0,3.0
0.0,2.0,1.0
1.0,0.0,2.0
3.0,4.0,4.0
3.0,2.0,5.0
3.0,3.0,1.0
27.0,33.0,32.0
3.0,7.0,4.0
2.0,3.0,2.0
0.0,2.0,2.0
2.0,5.0,4.0
5.0,3.0,3.0
5.0,5.0,1.0
3.0,1.0,1.0
33.0,26.0,28.0
3.0,4.0,8.0
0.0,0.0,0.0
0.0,4.0,0.0
6.0,3.0,3.0
3.0,1.0,1.0
3.0,4.0,3.0
4.0,4.0,1.0
3.0,0.0,3.0
27.0,18.0,22.0
10.0,7.0,6.0
3.0,0.0,1.0
4.0,4.0,2.0
6.0,2.0,1.0
6.0,4.0,9.0
0.0,0.0,1.0
2.0,1.0,3.0
4.0,0.0,2.0
4.0,1.0,2.0
2.0,4.0,3.0
5.0,5.0,1.0
0.0,1.0,0.0
2.0,4.0,1.0
0.0,0.0,0.0
1.0,2.0,1.0
5.0,4.0,2.0
4.0,2.0,6.0
0.0,1.0,1.0
0.0,0.0,0.0
1.0,4.0,3.0
3.0,3.0,0.0
3.0,1.0,4.0
4.0,2.0,0.0
4.0,6.0,5.0
2.0,4.0,5.0
1.0,0.0,2.0
1.0,0.0,0.0
0.0,0.0,0.0
3.0,3.0,1.0
3.0,5.0,7.0
22.0,28.0,28.0
14.0,18.0,22.0
8.0,8.0,5.0
0.0,0.0,0.0
2.0,3.0,3.0
1.0,0.0,1.0
2.0,4.0,3.0
9.0,8.0,4.0
0.0,2.0,2.0
0.0,2.0,0.0
3.0,0.0,0.0
4.0,4.0,4.0
10.0,1.0,2.0
2.0,3.0,1.0
3.0,3.0,4.0
0.0,0.0,0.0
6.0,9.0,2.0
0.0,1.0,0.0
2.0,0.0,1.0
1.0,3.0,0.0
4.0,1.0,1.0
