one,two,three
233.0,216.0,237.0
10.0,17.0,15.0
0.0,0.0,0.0
33.0,24.0,25.0
28.0,25.0,30.0
18.0,7.0,8.0
48.0,54.0,41.0
894.0,876.0,881.0
54.0,50.0,42.0
36.0,38.0,39.0
13.0,19.0,14.0
123.0,122.0,114.0
61.0,49.0,61.0
15.0,14.0,9.0
0.0,0.0,0.0
87.0,101.0,109.0
121.0,99.0,94.0
3.0,2.0,0.0
189.0,174.0,175.0
548.0,539.0,523.0
189.0,158.0,142.0
19.0,14.0,16.0
9.0,20.0,9.0
21.0,22.0,21.0
7.0,8.0,6.0
241.0,233.0,246.0
95.0,84.0,80.0
28.0,41.0,34.0
81.0,81.0,97.0
13.0,11.0,8.0
91.0,82.0,110.0
113.0,125.0,114.0
53.0,42.0,48.0
62.0,64.0,65.0
143.0,164.0,149.0
338.0,373.0,385.0
12.0,10.0,13.0
243.0,262.0,261.0
82.0,83.0,85.0
39.0,25.0,51.0
186.0,178.0,168.0
42.0,52.0,47.0
57.0,52.0,63.0
96.0,63.0,74.0
142.0,134.0,149.0
8.0,5.0,1.0
41.0,46.0,45.0
157.0,175.0,159.0
71.0,66.0,78.0
12.0,13.0,16.0
1.0,0.0,0.0
135.0,136.0,136.0
48.0,51.0,59.0
5.0,7.0,2.0
1.0,0.0,0.0
17.0,27.0,18.0
57.0,55.0,53.0
1.0,2.0,1.0
38.0,54.0,54.0
207.0,182.0,180.0
10.0,10.0,8.0
20.0,14.0,26.0
52.0,43.0,54.0
46.0,50.0,38.0
89.0,104.0,123.0
160.0,198.0,189.0
8.0,17.0,6.0
14.0,13.0,12.0
173.0,184.0,160.0
22.0,16.0,14.0
76.0,70.0,78.0
5.0,9.0,6.0
24.0,21.0,23.0
16.0,9.0,16.0
4.0,7.0,7.0
75.0,64.0,71.0
35.0,34.0,37.0
0.0,0.0,0.0
5.0,12.0,18.0
9.0,17.0,14.0
148.0,162.0,150.0
18.0,10.0,8.0
96.0,106.0,88.0
52.0,59.0,49.0
96.0,84.0,101.0
12.0,10.0,3.0
11.0,9.0,10.0
243.0,250.0,263.0
89.0,108.0,93.0
5.0,4.0,6.0
15.0,21.0,14.0
19.0,20.0,17.0
41.0,25.0,37.0
3.0,7.0,2.0
25.0,19.0,27.0
22.0,10.0,14.0
48.0,57.0,58.0
16.0,16.0,12.0
19.0,29.0,19.0
9.0,6.0,9.0
5.0,5.0,3.0
26.0,15.0,37.0
98.0,88.0,104.0
18.0,13.0,8.0
2.0,3.0,1.0
15.0,7.0,5.0
5.0,1.0,3.0
37.0,34.0,37.0
122.0,132.0,130.0
64.0,47.0,49.0
12.0,16.0,8.0
38.0,38.0,33.0
4.0,2.0,1.0
10.0,8.0,14.0
70.0,70.0,52.0
47.0,41.0,56.0
11.0,13.0,12.0
13.0,11.0,14.0
12.0,11.0,7.0
67.0,61.0,73.0
16.0,15.0,10.0
27.0,19.0,25.0
53.0,48.0,50.0
8.0,4.0,2.0
1.0,3.0,3.0
19.0,24.0,21.0
0.0,0.0,1.0
3.0,2.0,3.0
57.0,49.0,56.0
3.0,5.0,3.0
68.0,70.0,71.0
9.0,8.0,6.0
111.0,119.0,112.0
1.0,0.0,0.0
7.0,4.0,4.0
56.0,58.0,55.0
4.0,6.0,7.0
8.0,11.0,2.0
13.0,11.0,8.0
0.0,1.0,0.0
3.0,7.0,6.0
10.0,13.0,9.0
4.0,0.0,2.0
66.0,64.0,59.0
9.0,7.0,10.0
3.0,3.0,2.0
8.0,11.0,7.0
9.0,12.0,6.0
13.0,5.0,5.0
20.0,22.0,26.0
19.0,26.0,25.0
10.0,7.0,7.0
3.0,5.0,5.0
3.0,3.0,3.0
12.0,13.0,9.0
73.0,70.0,57.0
3.0,6.0,1.0
47.0,39.0,42.0
7.0,14.0,4.0
51.0,48.0,46.0
14.0,11.0,18.0
17.0,31.0,26.0
6.0,2.0,2.0
13.0,10.0,5.0
1.0,2.0,1.0
9.0,10.0,9.0
31.0,28.0,32.0
1.0,0.0,0.0
0.0,1.0,0.0
8.0,4.0,6.0
20.0,16.0,15.0
0.0,0.0,1.0
5.0,8.0,5.0
7.0,3.0,16.0
6.0,7.0,7.0
3.0,2.0,3.0
5.0,0.0,6.0
27.0,33.0,36.0
60.0,59.0,49.0
15.0,23.0,17.0
2.0,1.0,0.0
40.0,29.0,33.0
4.0,7.0,6.0
1.0,3.0,3.0
2.0,6.0,4.0
5.0,8.0,4.0
5.0,7.0,12.0
9.0,3.0,2.0
7.0,9.0,4.0
69.0,68.0,64.0
6.0,5.0,2.0
15.0,17.0,27.0
42.0,46.0,38.0
0.0,0.0,0.0
6.0,3.0,6.0
11.0,17.0,13.0
2.0,4.0,4.0
14.0,9.0,10.0
4.0,1.0,1.0
32.0,41.0,43.0
4.0,5.0,5.0
8.0,9.0,7.0
10.0,14.0,12.0
42.0,36.0,47.0
12.0,6.0,6.0
2.0,1.0,2.0
13.0,18.0,16.0
30.0,28.0,37.0
31.0,31.0,32.0
38.0,32.0,30.0
0.0,0.0,1.0
30.0,31.0,32.0
30.0,38.0,29.0
11.0,5.0,7.0
20.0,18.0,17.0
9.0,5.0,4.0
21.0,33.0,46.0
4.0,1.0,4.0
9.0,7.0,11.0
20.0,29.0,34.0
2.0,1.0,2.0
15.0,21.0,12.0
0.0,0.0,0.0
8.0,16.0,10.0
11.0,10.0,13.0
10.0,5.0,11.0
3.0,3.0,3.0
5.0,3.0,2.0
8.0,10.0,3.0
14.0,10.0,17.0
1.0,1.0,1.0
2.0,1.0,0.0
1.0,2.0,4.0
16.0,12.0,15.0
1.0,2.0,1.0
5.0,5.0,2.0
4.0,6.0,3.0
10.0,14.0,13.0
5.0,2.0,1.0
1.0,0.0,0.0
5.0,5.0,4.0
10.0,1.0,4.0
33.0,29.0,35.0
42.0,42.0,26.0
15.0,20.0,23.0
4.0,2.0,2.0
1.0,4.0,0.0
18.0,13.0,13.0
1.0,3.0,2.0
39.0,27.0,34.0
4.0,11.0,14.0
1.0,2.0,3.0
2.0,3.0,5.0
21.0,27.0,20.0
6.0,3.0,5.0
0.0,2.0,2.0
5.0,11.0,9.0
3.0,1.0,3.0
7.0,1.0,7.0
17.0,32.0,30.0
1.0,2.0,3.0
2.0,2.0,3.0
4.0,2.0,3.0
3.0,7.0,6.0
14.0,7.0,9.0
13.0,19.0,23.0
1.0,6.0,1.0
4.0,2.0,5.0
2.0,3.0,6.0
98.0,107.0,115.0
1.0,7.0,6.0
10.0,12.0,6.0
1.0,4.0,3.0
9.0,12.0,9.0
27.0,27.0,24.0
40.0,53.0,43.0
0.0,1.0,0.0
0.0,2.0,2.0
12.0,10.0,7.0
1.0,4.0,0.0
5.0,12.0,17.0
2.0,2.0,7.0
5.0,3.0,3.0
14.0,16.0,13.0
12.0,9.0,7.0
0.0,0.0,0.0
5.0,3.0,1.0
0.0,0.0,0.0
6.0,14.0,11.0
26.0,32.0,27.0
4.0,8.0,3.0
22.0,23.0,26.0
12.0,23.0,17.0
34.0,26.0,32.0
0.0,0.0,0.0
4.0,3.0,5.0
4.0,1.0,0.0
4.0,6.0,1.0
72.0,102.0,84.0
6.0,5.0,5.0
20.0,24.0,20.0
2.0,3.0,2.0
4.0,6.0,4.0
8.0,17.0,12.0
6.0,3.0,5.0
3.0,2.0,1.0
4.0,2.0,5.0
28.0,36.0,34.0
2.0,2.0,3.0
9.0,6.0,4.0
1.0,1.0,2.0
19.0,18.0,24.0
9.0,10.0,8.0
6.0,2.0,3.0
4.0,4.0,5.0
1.0,1.0,1.0
94.0,77.0,88.0
6.0,5.0,8.0
9.0,14.0,22.0
6.0,8.0,5.0
3.0,2.0,4.0
10.0,14.0,9.0
