one,two,three
16.0,16.0,21.0
153.0,143.0,143.0
79.0,83.0,95.0
13.0,19.0,31.0
21.0,17.0,17.0
1.0,0.0,0.0
193.0,182.0,180.0
39.0,38.0,41.0
187.0,185.0,195.0
26.0,16.0,18.0
58.0,56.0,61.0
48.0,48.0,43.0
9.0,7.0,4.0
15.0,6.0,12.0
91.0,84.0,70.0
8.0,10.0,15.0
91.0,93.0,106.0
56.0,64.0,60.0
6.0,15.0,16.0
44.0,55.0,43.0
56.0,40.0,38.0
6.0,11.0,8.0
73.0,67.0,68.0
149.0,128.0,135.0
63.0,81.0,71.0
19.0,19.0,16.0
18.0,16.0,6.0
13.0,8.0,3.0
35.0,37.0,36.0
7.0,5.0,5.0
44.0,27.0,26.0
26.0,16.0,24.0
12.0,6.0,8.0
70.0,104.0,94.0
11.0,10.0,11.0
180.0,182.0,187.0
10.0,10.0,7.0
11.0,18.0,11.0
33.0,49.0,35.0
15.0,27.0,13.0
38.0,25.0,40.0
4.0,14.0,18.0
74.0,81.0,100.0
5.0,3.0,3.0
23.0,20.0,22.0
40.0,33.0,31.0
163.0,182.0,174.0
12.0,20.0,17.0
16.0,11.0,11.0
71.0,61.0,61.0
15.0,21.0,29.0
24.0,26.0,19.0
29.0,20.0,22.0
126.0,140.0,130.0
7.0,2.0,1.0
37.0,36.0,38.0
0.0,0.0,1.0
4.0,1.0,0.0
5.0,6.0,7.0
16.0,24.0,21.0
2.0,2.0,0.0
24.0,14.0,18.0
30.0,31.0,43.0
0.0,0.0,1.0
30.0,28.0,25.0
13.0,5.0,8.0
3.0,10.0,6.0
13.0,11.0,15.0
22.0,12.0,21.0
111.0,97.0,106.0
27.0,29.0,22.0
10.0,5.0,2.0
119.0,110.0,109.0
0.0,0.0,0.0
12.0,7.0,9.0
131.0,130.0,122.0
5.0,9.0,6.0
19.0,21.0,14.0
77.0,80.0,74.0
2.0,2.0,2.0
91.0,98.0,91.0
0.0,0.0,0.0
16.0,11.0,14.0
10.0,6.0,10.0
3.0,8.0,2.0
6.0,9.0,12.0
39.0,31.0,39.0
63.0,56.0,63.0
0.0,0.0,0.0
4.0,10.0,10.0
26.0,31.0,31.0
42.0,45.0,39.0
6.0,12.0,2.0
9.0,9.0,8.0
2.0,0.0,4.0
9.0,9.0,11.0
27.0,33.0,37.0
6.0,3.0,9.0
2.0,3.0,2.0
3.0,14.0,9.0
5.0,7.0,8.0
25.0,27.0,20.0
8.0,5.0,3.0
49.0,36.0,38.0
46.0,40.0,47.0
44.0,57.0,46.0
10.0,16.0,9.0
14.0,19.0,16.0
7.0,5.0,4.0
14.0,8.0,21.0
9.0,7.0,12.0
65.0,64.0,62.0
80.0,80.0,81.0
43.0,45.0,48.0
19.0,11.0,16.0
7.0,7.0,4.0
35.0,29.0,31.0
5.0,3.0,3.0
41.0,44.0,47.0
37.0,51.0,57.0
