0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
-966.6981090034448,-1030.945416935308,-948.6249617235767,-946.2233876980058,-944.3744946690717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-917.3274750693473,-860.4719986690942,-881.3651040587738,-133.8328495502483,-558.4440127425867,-374.97690060137563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-929.0578721653159,-951.7510470515967,-934.2511829540288,-931.3882242919398,-882.7153356269507,-864.8282003270272,-865.035497999807,-862.3752172897026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-858.460290470551,-839.0665127165555,-876.1918191094978,-866.3596337199721,-823.5355602047246,-776.9081413188256,-774.3263630682941,-582.9404471653843,-348.9426261409468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-945.4823986533667,-930.7652356144025,-898.9317710189723,-912.0687856525462,-864.8810399988927,-850.072182997525,-773.5810365096745,-772.5530557208009,-859.2240162394515,-860.9732366507931,-871.7601395597421,-864.2225707516332,-866.2945764296192,-862.6864045787867,-860.1031673408546,-865.7317068620346,-866.1529919569657,-865.3495647572987,-862.912305035057,-888.952158959891,-891.0715771812954,-857.9677883752577,-863.6628487485297,-820.5900666019206,-778.8991243187704,-772.8064489011248,-717.4509207689482,-679.3465209301015,-689.7863009223071,-686.9251042283474,-620.5247080669889,-618.8697683688154,-621.6471781157754,-613.3583985093499,-617.2763088914317,-621.4168520572795,-623.6606706402845,-614.7851751747775,-607.8255691250508,-646.5558161462208,-933.8434307798568,-899.2185531112856,-866.2847182563186,-869.425845499259,-818.4922649505842,-802.914477966864,-769.2330743220782,-745.846384762803,-713.0662131862437,-679.3465209565871,-754.7353882204625,-751.2984039881995,-762.0396791921229,-746.7398165706148,-750.3291674508124,-743.5292773553361,-745.40971564128,-740.0830606141361,-744.9905742511809,-777.2857178868475,-856.3475019372494,-827.45194985207,-789.909199311686,-806.9075652054892,-755.4304444989949,-699.7724079987628,-710.884420494618,-667.0496480390603,-647.1959604498422,-590.5922610918292,-626.3731412135799,-613.3681739237951,-610.5993225080379,-595.4251289478779,-584.4802110242432,-583.5990196623354,-590.7885473347491,-585.150773435198,-577.1471596555072,-610.7689233934487,-878.480998817498,-839.4588777907425,-856.0969099523406,-824.3590297958576,-766.4754832827927,-756.9943395236329,-729.2210791085034,-689.192960341436,-681.3986779261165,-637.3206824175757,-614.6196226664441,-585.1985059900011,-646.4108038380475,-661.63593498739,-668.9047326778299,-655.9065642470364,-660.0260884668446,-660.5100470330914,-651.1980474836179,-683.0870134558742,-842.8348375746061,-780.9691837411608,-786.0058683350383,-776.7105826338932,-693.3191390476885,-699.7268121599801,-685.0655095941337,-597.1039798350456,-624.4031520897252,-585.1927099405959,-554.2437794537142,-496.9356944870225,-555.7490111817046,-490.09950100000077,-572.6118195124594,-581.7436941821434,-578.832403098931,-568.9708534098374,-566.7640048809801,-603.6070514435256,-855.8799018115815,-808.5278314268178,-813.6133142638345,-790.3385938224923,-717.7968479384899,-715.2798420832896,-695.6714768727318,-644.6931160347547,-626.5857464699477,-606.4793055972665,-582.2282044795244,-575.2107585826319,-494.20607972287644,-557.5309752698785,-567.1506241431196,-582.4061229220243,-600.1922692124913,-591.8802773337634,-590.3598604665783,-626.3253155886945,-780.8788705666739,-761.9350145099618,-766.4762594510147,-735.0322328179027,-680.8608308721284,-674.5538401588058,-630.3153761339624,-589.0504786888577,-582.4134245797499,-521.3147543023687,-492.41417159648114,-489.1690999832747,-440.48515757632504,-399.6646820187618,-394.0399000000004,-462.801797132356,-460.77229849177604,-456.26081344614227,-445.8886318316,-482.64331893931666,-838.329276946228,-782.093733428306,-774.0217316091374,-771.5696021963857,-694.814349952089,-698.1152265500813,-678.1422508950884,-600.4138154957618,-605.1756298229745,-584.0683228544395,-504.1909581523148,-508.16580207679795,-493.3631542931358,-447.614756150966,-406.7108981933801,-394.0399000000004,-394.0730384610968,-445.77273320915145,-429.9355931246171,-468.7553520600616,-769.1578585941214,-736.839509736766,-705.9791163944832,-702.9576165854436,-649.6569433784616,-607.9729247348087,-614.2598458005058,-559.3162085730964,-514.4703178952022,-518.1515210350708,-472.4824873602657,-420.8629326477524,-432.44976380133295,-393.29381965261683,-357.76606601356843,-300.13199497760024,-345.74461998500885,-358.0245990716087,-363.90674614948176,-394.4899813747121,-783.0941246095794,-756.2015126246241,-763.6819519060974,-740.7591114167915,-677.0275065130686,-667.4652028841036,-612.6135761275056,-584.2128536362536,-574.0943615950903,-547.2813875245073,-494.19546009402904,-481.59715170473214,-445.6360371581934,-413.15793058167804,-393.44347133345644,-360.2062862719232,-321.0157583897312,-297.0100000000002,-348.00642146546437,-383.25274749467496,-742.9544150330945,-693.0185109208719,-690.5122098893698,-679.6975492013446,-600.977094201578,-595.706271747037,-585.9686710173153,-499.5819775064618,-509.5190817064575,-490.47746294121646,-430.72958399736694,-405.50658690047766,-394.5229622737487,-323.28569795339683,-303.6068621550742,-298.6785701756035,-250.3572083977297,-199.0000000000187,-207.73713339504033,-279.1855412786488,-765.8808389340847,-735.1159557239437,-720.4016925366244,-706.6215407121674,-649.2327306921075,-625.7355873898537,-623.5913226283111,-552.2028726395937,-540.7297846333609,-525.3732564638957,-462.92462348507115,-441.21040000769244,-427.5791300780363,-376.29403463198076,-347.2762330012607,-322.5901484388048,-296.41788539110917,-278.63703264411856,-199.00000000000006,-199.00000000000006,-686.5647189663341,-667.916766613518,-660.9829813857924,-627.7492811307499,-577.7956005846139,-566.5256734920102,-547.9868724787223,-478.8522505161519,-472.1795040688699,-436.6916648415045,-386.521827220114,-379.467067952629,-321.6257627076582,-292.7846825310137,-283.8947652909724,-217.66374497562194,-203.71168329940494,-156.26594335685863,-99.99999999999996,-99.99999999999996,-736.5875088414837,-676.3701471262111,-668.8618885190587,-671.2051779043744,-586.8018551467972,-579.4476216401259,-574.056922571785,-495.9477600355006,-485.39571971119955,-479.14732586818644,-395.47178495901954,-406.0076325828097,-383.5511333656422,-314.43845414506495,-293.9715168831521,-286.90148390836697,-199.08176900686695,-227.38236139835917,-196.07208595462046,-99.99999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-991.8703088881872,-1030.646081483367,-950.9350840221721,-945.6200628682117,-944.5610411793721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-928.1746206671023,-866.9193833421291,-871.5538618873717,-115.42186323928765,-562.1925059794089,-375.353237043356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-928.7956636138609,-957.397597741843,-988.7500587847619,-966.3556952560078,-955.4445845407005,-868.5673325778447,-885.9667802688155,-858.3413045351269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-861.5158045875534,-846.2088765875898,-872.1828081500581,-941.889860262428,-863.2005136351896,-819.8283386019236,-795.0418095959992,-586.0630217358256,-344.3228988301363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-948.2176501254334,-929.0261533809042,-911.2010083073588,-949.6784935005927,-892.0109742992192,-923.204633513814,-861.3962616509532,-856.4240574437194,-852.219657254475,-867.5649638749721,-869.6117176240872,-866.3486463388647,-863.0799670671078,-867.581990631831,-863.1263331303065,-860.0675954436686,-864.9667294412106,-861.204055413128,-855.9969743780676,-891.4631034474224,-891.2602661614351,-858.7613929239138,-867.8520019741624,-871.9927214556337,-789.4825426232824,-773.2746516662678,-792.6129828053354,-760.4131230190588,-692.120474203155,-683.408959324351,-615.7261958152997,-620.434979993508,-627.2427493389716,-615.5855607521044,-616.2999305542681,-618.4960547570018,-617.0888793548547,-618.1061931591756,-603.5316495343086,-643.3172363736741,-938.3812759812905,-901.1409647407539,-876.5398899648669,-886.2170253842182,-816.8357354570253,-814.051106965241,-819.9806632516722,-853.8655889079063,-740.1539589741395,-739.8000297837042,-748.3967450767863,-744.9721322349656,-759.0953777783835,-752.8730890739081,-744.8304437271969,-752.5619394763658,-752.3973676383595,-739.9786680403625,-739.6708436687824,-774.3922429309836,-860.1931180888016,-835.0494680892382,-795.2164483071319,-838.9994826416869,-750.5009715873949,-708.8428860999531,-728.7513012703931,-669.3071891603148,-709.940031854467,-643.2700943310437,-641.4578072741045,-617.640710421716,-616.2609998595952,-598.7348567185163,-583.7451087873694,-589.4248654962561,-597.2666403115021,-591.2384647697743,-579.3031594213015,-616.0302158328898,-878.7351947028216,-839.2808190339657,-854.2836818130348,-881.362205090957,-763.4233811015814,-759.4733619269093,-773.570821198401,-721.3681301791783,-734.3806596536594,-744.3735099042099,-676.6093147391658,-632.3465813091727,-646.3809543844959,-662.5195142500894,-672.3768388959272,-655.056907269842,-661.8921847385491,-659.0209980313631,-651.2805913231276,-684.0020655646716,-842.0229547944905,-776.1448065801443,-788.94893989998,-821.1296220830626,-703.9147590872592,-695.3253771761425,-751.310138206397,-646.1456678036094,-637.2605230244847,-619.4732929942821,-675.8392215653168,-558.4471601664675,-555.3682080840325,-529.2338297476475,-575.6036563346704,-577.2778698532568,-578.9203725826649,-571.1257814948995,-563.0074172009091,-603.561537754809,-859.5667200767322,-809.9715865414114,-812.2465663870548,-792.7979906124759,-722.534066641087,-719.1168372178481,-728.6783773865895,-635.3278327243717,-631.6761156440386,-650.3039631160669,-690.6562225048574,-628.578745701862,-571.549797911581,-565.5419257728303,-496.6487544523942,-575.7958855330079,-601.833080527273,-588.3807566067511,-590.5909644493258,-623.9390661035694,-778.4368156050109,-769.1628602205701,-770.8267326415413,-728.8244354236576,-681.1232506561594,-688.6911091062041,-714.6153697758659,-594.2872603515676,-599.2570997079193,-603.7451940976359,-535.8396191871179,-496.4510916882299,-505.89894013421303,-486.9535998730564,-454.7225676148045,-455.9200071874227,-465.54770551014747,-457.245208939398,-447.6873835104451,-482.176827253973,-838.1923155682692,-782.1961456007039,-787.7512272071957,-812.7855956758601,-702.9605071995984,-705.8949478593154,-716.9095766049154,-616.7738723748772,-614.6098340779515,-620.0035794048573,-505.05746450885897,-535.4256361573186,-524.2886688191307,-570.160453903473,-459.79881760704853,-443.6691134086464,-412.95509027286863,-418.29943613965986,-438.1117081008851,-466.92567869451193,-769.2060216266375,-739.0163543772169,-705.8514320973158,-722.3067162946563,-649.1961060416897,-608.9718754243863,-602.3307999810488,-565.4536933509655,-518.4442454112068,-524.742351315411,-473.3003732316258,-422.0073309502644,-440.6221555800398,-397.8596001583864,-378.74723504466294,-387.9989597378506,-348.73287745321846,-362.02045876300224,-365.94925101031373,-391.8416038613745,-781.4782919024788,-756.847300124404,-762.1643555804387,-773.811306692181,-672.1116105985217,-676.0767106251365,-681.7522805122672,-590.3025958744306,-573.7902554443709,-572.9304033350022,-494.06120876181603,-487.8030190436684,-445.4306442012765,-452.3615478097908,-433.66597234102596,-449.5778729246851,-388.98969802539773,-353.32266707550417,-341.88798101417206,-380.9415241539908,-750.7167043185704,-696.4453306256771,-693.4813851177418,-715.8576984882425,-592.4685445981542,-589.0350513534484,-633.6433695793281,-507.0043719277335,-509.14899169982243,-536.7429739596248,-424.27439384493067,-404.620896590014,-425.7069653538941,-320.58168417260566,-306.79717049896055,-323.68681790429423,-389.07636247662555,-243.9310794132087,-244.60214127991526,-268.1249061707824,-768.6006212682802,-743.0621977137708,-735.7891909298509,-745.4667839016433,-652.2737952781563,-631.1916442725601,-635.8540880915866,-561.1515290752824,-539.1804263351645,-520.2017956455892,-462.8416073397064,-453.92225964352957,-420.50879786356006,-381.9208940997227,-352.172963244247,-300.57557915549495,-317.90697920591884,-372.59427027878235,-277.24959591478273,-257.3592527858895,-683.9556031542362,-663.3524736246871,-661.0377398606804,-677.6426280076322,-572.6756825000754,-573.5407406363155,-577.9169871742736,-478.60890044270786,-487.63385067207355,-428.74440540633947,-390.5899768704294,-380.67869381927943,-364.3939610240472,-290.4771714651871,-285.71696300591174,-291.7251501511536,-200.17626684473612,-203.98303355687548,-240.09076818190263,-99.99999999999996,-737.1078598662405,-686.5200243839283,-673.7820041456788,-678.8417633143991,-599.5211818528003,-575.4454024564909,-590.8198397096974,-498.3565083086494,-503.98616069871906,-505.10004800365806,-415.86130466104265,-404.0580081529615,-415.1347302719344,-300.604030192294,-321.5144587668863,-318.4585805836129,-221.17265252068506,-250.72905544461673,-217.76000930792634,-257.4958290681533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-955.596663841775,-1030.59085431393,-947.9756056235534,-945.9443334607796,-944.3819746489049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-916.8114555362981,-866.3232584157548,-852.821386171062,-175.6029001247132,-564.776396119705,-372.5321764255797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-926.7563391835271,-951.2516017415076,-937.5370638053098,-889.530084311042,-864.8296472482729,-869.9121616511283,-892.4030269291816,-865.3459236312237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-859.5079280906469,-839.7235376470569,-864.3602744273228,-864.6510862159186,-782.6498972635065,-772.5530557208009,-776.2466423383992,-596.8570791141007,-368.92347403818354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-942.2357419723874,-929.1040854231189,-886.5666868137494,-868.989426948281,-864.9293145256669,-792.190722987113,-784.8327908441561,-774.8089477230925,-857.0267165920349,-860.3865272400552,-872.8795461208405,-858.1637277079213,-867.8235928938639,-866.4274783937122,-862.0385137704568,-866.0139895459002,-868.9839096907235,-866.2165757530339,-858.4056545115216,-891.1891524905906,-889.3564862019348,-856.7757423469315,-860.2426641686151,-825.531191439557,-772.4024135721974,-747.6072167887187,-679.3473130980285,-688.169519282787,-692.0092796663656,-685.1940073295015,-613.0591637050899,-615.8866998685095,-620.6924064657926,-615.4224100824566,-613.9733523520001,-616.5607183857928,-621.2769229982146,-619.7369526812006,-612.1527555294971,-648.3614807871547,-932.2120778356802,-897.7476926556607,-866.2603764605617,-864.020301352042,-816.4640357185141,-773.557272539519,-773.0531404713223,-710.2040741158494,-679.3466878860804,-679.3465209301015,-750.1714617002244,-750.2512643063371,-756.5444724458553,-743.9252289803597,-748.222601307682,-747.7343136347531,-750.0042840084554,-751.808141596798,-737.324685920083,-775.6083550022406,-856.4344152273965,-827.6738583556897,-787.6575054162615,-780.6098708562016,-744.5816290030302,-692.8281492009135,-679.346520099641,-667.6630373108435,-585.1985059900011,-611.9814721518893,-622.7490135707492,-615.2224234144431,-608.4488058316441,-593.7696581787203,-588.8342589518297,-589.0261782535837,-591.9174610346226,-589.3522732335415,-582.1167568222165,-618.4982760715955,-879.0847044658266,-833.131922814712,-829.3720532291593,-827.181050597746,-764.0815173733662,-755.4224987026762,-734.6219371060039,-676.7874701180281,-678.5977421117019,-609.0314129297889,-585.1985059900011,-585.1985059918233,-648.4480528706027,-657.2499310905189,-671.3412532112844,-656.6974332333687,-662.2780611974773,-657.3448553347698,-648.0976552317065,-684.1015468829232,-840.9197315558641,-787.7566524108796,-778.0263564115435,-775.5142767081466,-695.089040004443,-687.8170814464278,-680.7844481987404,-605.5952837949969,-585.1780876565903,-597.2616168316974,-499.5551772310824,-558.5788426441052,-499.7725965688266,-551.9916852038089,-578.9301312628112,-573.7096436331884,-578.0376242398872,-571.819511389548,-575.8570855954554,-600.530366750558,-854.6227655563733,-810.2249787025721,-803.0751173674709,-783.2573790167709,-716.9463067099476,-711.47131521574,-687.8486754498139,-636.4387714712715,-621.3465699153886,-613.730685447332,-573.2715747159757,-500.04441338548713,-490.09950100000077,-490.09950100000077,-571.5876937764557,-583.4693772825498,-601.1650294689591,-597.0492913915176,-585.059319406524,-622.0768145114704,-780.3698625864316,-762.4314690606374,-766.3598169689476,-724.5173856284775,-676.4784168804769,-674.1280116989594,-639.2775873779791,-584.8565075340783,-582.3559118155783,-533.8220572173573,-492.20774403908365,-489.07709897666354,-414.84295499329085,-394.0399000000004,-446.5177151370259,-454.07696303829255,-453.72775008085,-457.2496970295184,-450.78810527949037,-477.5650793001078,-838.453539673659,-785.9528005631142,-772.2186468279688,-768.9211679951854,-694.9695072938484,-679.8624752730956,-673.261756050242,-601.1473419802869,-587.0679596100235,-582.9653443096774,-507.2774220969256,-493.10018139717545,-465.7126565380324,-429.662092271099,-394.0399000000004,-394.0400927495527,-416.1778252009261,-443.1852458473777,-439.151577697461,-468.49694140138365,-764.5563935120656,-737.3140211525357,-702.4828460772605,-681.3075177819708,-650.0249140899344,-612.0091553263807,-588.3308194531973,-561.3124643094659,-520.5433174897262,-492.99617580260235,-471.5845251772672,-420.1379668551768,-400.10303073013586,-391.67342893119235,-303.3232423825295,-300.97964982323464,-297.0519563771249,-359.37514281525165,-369.0372359642246,-393.27308783724527,-779.3974409204552,-755.5887567443949,-760.0121234889622,-709.6681656002067,-671.5740648671692,-667.0383170184049,-632.9208675486908,-580.6785903656773,-573.6153042833894,-532.9573895818918,-486.9265877981527,-480.71747506598086,-432.05152073026875,-393.87007473576557,-390.2141145316951,-361.38999465134606,-297.0100000000002,-297.0100003210467,-297.0100000000002,-381.76409200154524,-744.6648835854162,-684.6562767791845,-679.9973554220754,-679.5138776126306,-588.3107489414851,-586.0727318272804,-585.5568299298736,-505.86567238220806,-489.4196028239512,-490.59936604013086,-405.377639174281,-397.93105455272257,-394.2028578069039,-313.40881512560014,-282.4616897547266,-298.83390803742145,-222.52720837931648,-250.98503143777845,-199.00000000000006,-282.5031757839912,-764.8635977584613,-733.0436669683986,-719.2737920883442,-687.5554065528884,-647.1106022139812,-628.7155959450881,-591.9425277301782,-553.0000761172463,-532.7852245499947,-496.3041037916102,-461.7284062649606,-437.72575719168253,-403.11364482045616,-371.73745816026496,-344.8283328053845,-319.46683982531096,-296.99995586155075,-221.46231763462754,-199.00000000000006,-199.00127268494606,-684.6808774574881,-662.7456061470816,-660.0135662790298,-618.2380487320052,-572.815705090543,-565.9016072532442,-531.9392861538913,-479.2780803100867,-471.3084603169138,-431.7063146571911,-384.5068683786872,-377.35300770184637,-326.1541707083858,-299.5028818249065,-283.37037575641324,-236.42563044350763,-168.29055545949703,-192.41524714696124,-99.99999999999996,-99.99999999999996,-733.6503492679885,-678.7662707341221,-667.3896849884554,-665.6847052480967,-586.2161727505447,-574.2708139682044,-571.4059882505056,-491.75699016618603,-479.118594634372,-476.5697795696086,-397.9189578044939,-384.0131145330029,-381.0694310976478,-302.6931772518555,-291.3056809365428,-278.43340222441634,-201.49606967508666,-172.73590015571364,-146.34736111081978,-99.99999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1013.7636735747346,-1022.8938939595705,-957.5589591504072,-949.520241722743,-946.566900110462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-918.9471020360747,-871.2582625759959,-880.0714163419599,-126.8549641010347,-555.3489208540855,-373.4191109978196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-929.0626273278374,-952.223275284905,-993.3938486217432,-1106.2500252174395,-967.47943648602,-871.646845743752,-885.8792879187919,-858.5449104302936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-872.4076307409632,-843.0397924238084,-871.3571870180303,-907.3336942652396,-840.2007444012975,-901.2347279414801,-804.9425156327908,-582.241108404496,-369.7702421242231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-948.1297539437161,-937.8980660859163,-910.3111353682168,-964.1915265202375,-879.279656979227,-960.1937010634645,-887.1837309533543,-861.344858400323,-849.6475042280059,-848.9738654883035,-868.4728408343343,-864.7236836080664,-870.9777659173526,-860.8939102998177,-868.8295687286592,-867.0038609289925,-868.9841650103966,-863.5560768642342,-856.17042310357,-891.872587717116,-894.7102680756137,-863.3870552475981,-870.176195539924,-873.4866728602835,-792.9836563241031,-801.4690923134186,-771.4374944881905,-801.6825777277247,-692.8461410436504,-688.601524588892,-612.8743043138219,-628.1045425945334,-626.1505560641147,-613.8916095674359,-623.3093364167415,-612.7561372162977,-624.3472576301635,-617.9568133734892,-609.1303969261469,-646.9463312496254,-938.5406818246831,-906.7920897344992,-881.9003961799064,-927.281220666067,-824.2748215907824,-812.3264964734478,-819.2005085813696,-866.4912978863642,-854.0395437283119,-726.5784180425387,-748.2653101933926,-748.3651382469964,-762.3571969445632,-745.6438586139208,-744.8996468921048,-750.9735461113355,-747.2431558258316,-746.1196411102778,-737.7983176526088,-773.134118887407,-860.3185432739982,-831.6383844746055,-784.2239585729226,-862.185852954109,-764.6867651113056,-703.290590107905,-769.4672655998828,-688.6351033661726,-732.1871801759044,-639.9753307026573,-648.0799474987698,-620.0460288661715,-607.0531256581077,-599.7611038673189,-593.3954077412154,-579.9468240507482,-589.6430027630188,-587.4875887745958,-584.0103909539,-613.4094253556252,-883.1750317676182,-834.1045012738196,-856.882879859969,-872.9130063853903,-774.4799207673449,-760.1280803444942,-758.509700534152,-696.3043395858576,-752.8619282255509,-776.2292089426044,-734.0656703989987,-676.120980562366,-624.4362781020931,-659.5799782306278,-667.7149381965844,-653.0858342585692,-667.6035328271187,-659.976919851488,-655.0725013629421,-685.1313686569382,-842.7944275010537,-785.1663149853122,-809.4211894917679,-828.1096638846352,-711.9451824802884,-702.6360451984116,-708.5571352226365,-611.1649161329402,-661.7588722320493,-604.7250086879003,-675.0455628582913,-569.243700211748,-553.9344758642974,-569.2393398060801,-570.8511185328264,-574.196629928371,-581.0511011833805,-574.1891717426456,-569.4654049397512,-605.8875166146754,-860.2474233566625,-814.4376186107258,-815.9015018326942,-832.523443657652,-718.9315902734169,-733.6214979138816,-725.4314239529131,-647.6869492122431,-639.7753171357772,-651.3823501004927,-717.4065639036818,-688.0696994972654,-631.6977157693636,-570.7107628523399,-570.6356968513707,-566.3556506671371,-602.4671997427075,-589.5622557301892,-588.1477221573967,-621.711714825988,-778.2404681276975,-762.0719678290842,-768.5193893509789,-750.1181824149969,-682.8549583763927,-689.7674283000244,-679.7512257532686,-600.5600727426907,-589.2764972480844,-581.6032338190873,-515.0218348618447,-490.81376006051653,-530.286876528259,-557.3392939111903,-462.53244490590646,-455.5670568985685,-466.17917937603676,-459.49368110295217,-451.70133068240926,-479.8608840037981,-836.9155818474032,-794.0645608202094,-778.0030596986968,-816.6540923734608,-690.054785441167,-713.483912984318,-719.745160432956,-604.9264096947117,-634.2352008000727,-606.8455286810395,-516.3226643719852,-562.192167661831,-528.9694869593435,-621.1722621560443,-571.654186431773,-468.329279356777,-449.7136091073243,-438.43152497224713,-432.0038705842358,-461.8623863354877,-769.2060216266375,-747.595605610712,-704.2038712659814,-748.3201586019425,-656.6443575383556,-610.2610907984063,-656.9153061851712,-568.9701129972964,-529.1231381355063,-556.5345952630958,-478.37698585226394,-421.34691322630016,-471.31142947895626,-407.3782669914409,-423.0214520637648,-466.830171733032,-351.76577787485866,-360.69380677311216,-353.356747041929,-388.33528195378204,-784.1548906885956,-760.2937387698792,-763.5964805323933,-755.3357887799912,-675.1924058700706,-677.1424665352827,-715.3452828237264,-582.3102570934684,-580.8463883447359,-605.6803933469963,-508.043692047763,-494.75761197266604,-464.23164125602483,-414.6318784477268,-426.01717471288947,-494.7827097776061,-438.20469596518075,-389.73795660558864,-350.15445082037263,-326.62783116804167,-743.3779508400604,-686.7530237414888,-682.3869270291476,-738.3981859113723,-596.1816593519922,-594.3667082884897,-642.476638269297,-500.7160585703049,-517.1687952581506,-537.7256352020675,-433.661640107987,-435.8021627733123,-422.17046933678614,-315.54232013844756,-310.2246106383379,-349.2334803871879,-394.41349212413337,-246.37253277799798,-268.71751503621306,-276.1647131318279,-768.1177583558965,-738.5832140474663,-721.7012972059484,-736.3436902616528,-651.2709251111445,-645.5248963803326,-674.4732955125456,-570.5692902996768,-548.2424764304695,-533.4665545319225,-464.4816400196081,-442.7546870783789,-483.9283694206859,-376.2168923375537,-349.78452587243027,-410.03979858969154,-321.0823434185177,-398.0435672260691,-358.55745179049404,-258.95564577112043,-681.7058889734212,-667.7977273130606,-664.53281663407,-675.102848045082,-581.7516656803897,-585.9335325306467,-558.6909130847857,-482.7243430880617,-474.30008472446906,-456.58949935805657,-398.9899789410037,-379.3455286673313,-369.2466507493192,-306.7765734427077,-292.08348888589563,-275.9995877945216,-207.30292299994332,-198.41842246672704,-292.5534604493891,-237.48937842731667,-738.3806380245044,-684.2844633901224,-688.132828455633,-699.9991244537672,-598.0746615312993,-586.3212424228597,-621.5375205800582,-493.5970560218446,-514.9591730730913,-517.5465002409674,-419.57815085033684,-401.1933988374917,-410.9223027882468,-306.1140736195801,-314.44370122699337,-337.01978583975966,-227.41913358296975,-277.81905115003667,-266.006236264138,-316.7011499608761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
