0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
-21.13464843220266,-21.06630582805521,-20.33085879289075,-21.256787363594043,-21.226465045782263,-21.335964533739784,-21.070328530368915,-21.128397442889305,-21.207283802772253,-21.137840893136666,-21.077311638275006,-21.464553232131244,-21.478629717282708,-21.410256697982543,-21.736113083608643,-21.19895891517683,-20.16615183890121,-21.173167572236338,-21.091343021085468,-21.196011147519425,-21.1188805861434,-21.346004620218167,-21.400112838685757,-21.18164268881358,-21.067547969860193,-21.373197759395204,-19.95238504378466,-21.449351153860214,-20.400801583584865,-21.43701579493606,-20.411660914451804,-21.274896783953942,-21.35950023235575,-21.54725015904461,-21.40987831255294,-21.309854262897233,-21.281158461400615,-21.39806419580555,-21.637837743725783,-21.790274970987078,-19.0934536731678,-21.332313843316086,-21.46882664615642,-21.078257539265515,-20.47021433229064,-20.97565362726475,-20.82238014914214,-20.771829141907958,-21.134350041111194,-20.98243302415293,-20.862335055184552,-20.989502745297195,-21.168965382706297,-21.317134916777093,-18.627251451612825,-20.833329402845578,-21.533909267737045,-20.981332509100874,-19.179480240125535,-20.836567000181773,-20.732425018130304,-20.538971679065554,-20.664281399142375,-20.448979788770647,-20.89173969978117,-21.583141424536258,-21.41200766841861,-21.384473152452642,-19.828902978196524,-21.133838326302442,-21.36316790269067,-21.031234086958108,-19.873682670930513,-21.08259485756067,-20.905536315290583,-20.78033930021668,-20.966979794212833,-21.139140059862548,-21.3879440363862,-21.14574856846099,-21.085639521885312,-21.32425184008646,-19.080886829590163,-20.820399097385675,-21.086593552886633,-20.91608603738516,-18.91298521264327,-20.741532115080055,-20.62549713046303,-20.543015624451826,-20.592465070650448,-21.12367120058442,-20.664789090922184,-20.837606355745642,-20.874087613902983,-20.990154193868605,-18.982424282101068,-20.613303288875166,-20.86475645556172,-20.59990530690476,-19.244873042139726,-20.24555093541084,-20.202328250160093,-20.193432231809496,-21.0480178954005,-20.977884856694757,-20.771863527560683,-20.652077274134115,-20.61131956632807,-21.212908073201305,-19.936444020541924,-20.446777712345778,-20.516715428862295,-20.221912914584625,-19.80597470036348,-19.99277690596609,-20.294195555675294,-20.65783273596037,-20.316805892605508,-20.17668254121718,-20.023844574857456,-20.009471399150257,-20.19459433816186,-20.259125344913926,-19.194907727719695,-20.43346021064083,-20.518472943907803,-20.109530165230957,0.0,-20.17023903373868,-20.76092912985554,-20.392405426253077,-20.52880495620278,-20.239086292702957,-20.265200501422875,-20.21432577805823,-19.98323308755134,-20.17072089541725,-18.39572246677367,-20.004119014621114,-20.23390440734756,-19.97233736888923,0.0,-20.529889454704694,-20.25530470797677,-20.40829604711486,-19.997618881863644,-19.966888841231466,-19.74075716223478,-19.9199606140817,-19.454783893223777,-19.630272668191452,-19.42795698256068,-19.778424247226383,-19.707440079157173,-19.60984729821798,-21.284610161721655,-19.749281429169066,-20.973151540361357,-20.844657936267332,-21.030640883159187,-20.980609214103787,-21.234065607320037,-21.222742725246523,-21.232749979073127,-21.153732758690587,-21.109994316266214,-21.19202824440553,-21.384555231570708
-21.64614622445354,-20.437204518883824,-19.414876541347944,-21.130759427675315,-21.28105529643193,-21.221048359689796,-21.17398658758769,-21.35573911452363,-21.120310753110182,-21.365801956954314,-21.329194157046082,-21.28154463619999,-21.45171860823755,-21.473696896066816,-21.714985783667146,-21.37841073310177,-18.561636268900315,-21.4802367442773,-21.014417170828217,-21.308320619267338,-21.068816095185692,-21.077177073993614,-21.21647598878844,-21.42849871775979,-21.186881871693338,-21.49802943299258,-20.291801794816916,-21.243867901779332,-21.33501137205611,-21.467844533094336,-20.06415329018408,-21.231467806751144,-21.535862717995336,-21.43212592576579,-21.266522346856505,-21.380267203425404,-21.0736591480662,-21.294604957364086,-21.651051024981182,-21.691154725753268,-19.3116910096929,-21.785121209077115,-21.45474438209453,-21.202375097216844,-19.27699522505905,-21.336754008622616,-21.099153778578238,-20.856019720205907,-20.958690567119426,-21.103890466217607,-20.99131042346539,-21.172869496679972,-21.18802158262057,-20.78763816152579,-19.862647147122583,-20.738817276326813,-21.46655032454516,-20.78693778304394,-18.98984398782642,-20.888515738881523,-20.57482032907277,-20.707685601131992,-20.618179092934618,-20.69027282571276,-20.74520004741941,-21.72948171142006,-21.299663582533753,-21.46597851669759,-20.330233702174127,-21.08153516232627,-21.55064648850444,-21.1274543776632,-19.976779443171445,-21.13084413930828,-21.04459684981604,-20.912361105190868,-20.735739176077367,-21.149843648271645,-21.680844596275854,-21.497885999697743,-21.305176992184528,-21.35894099120636,-19.715069804967996,-20.73990140567188,-21.092030815114015,-21.0020838985512,-19.031917684480803,-20.583083798609678,-20.781521777392516,-20.585226625873183,-20.552354254263008,-21.11884368590706,-20.86800996333724,-20.631095123619673,-20.941398432069953,-20.98165079168149,-19.726772204849112,-20.454111638702337,-20.783505377445515,-20.398497310568352,-18.063726644704445,-19.972219148842782,-19.90108467124923,-20.217112604890424,-21.074389353477816,-21.199306393544845,-21.021485136095755,-20.85676160962032,-20.638158554058016,-20.735143769890072,-20.156156286885334,-20.91600111056845,-20.6885991800999,-20.502873351785098,-19.258200265932615,-20.37796367812805,-20.01325352312911,-20.592465070650448,-20.63236984441066,-20.510825691595123,-20.15471914640566,-20.27335694116551,-19.98021076187154,-19.953191434591545,-19.785200127848938,-19.978102180419576,-20.726597533572644,-20.5293093977129,0.0,-20.147957783632577,-20.791981490070917,-20.63667786127358,-20.391208821731404,-20.558018991445714,-20.263198557084394,-20.42407426912392,-19.987447066921792,-20.224361141643282,-18.14918362339928,-20.07396047407152,-20.08987769027197,-19.753949758510714,0.0,-20.626451406838996,-20.800334699471343,-20.252631389299083,-20.236524330856994,-19.92079466644679,-19.984713952559535,-19.7486345777368,-19.659144598714686,-19.347674717193208,-19.47841231104203,-19.893705719044476,-19.75651685024516,-19.876880902765926,-21.230464144726746,-19.985417180086866,-21.021328740339023,-20.85596180444812,-20.91681575917466,-21.01032029522507,-21.27521307094646,-21.286149117400775,-21.07444210658914,-21.26020346285397,-21.027540513597465,-21.23663523804025,-21.18575959748445
-21.508745862995703,-20.683255251415762,-20.113457753120436,-21.308164914446756,-21.14135899784628,-21.222386101451356,-21.257054598306162,-21.138111643555654,-21.045451775958714,-21.304581990894626,-21.3001441036795,-21.396537922188195,-21.514834601286957,-19.390382229952955,-21.276338157614408,-21.349265678531182,-19.324732740862615,-21.285609234971385,-21.33338128361131,-21.03837650409326,-21.123206884261613,-21.437337520158728,-21.392740388189175,-21.095787847276505,-21.293785243833575,-21.58208147470747,-20.737447568336805,-21.25858978750334,-21.414385351146468,-21.2041929510633,-20.668460989137508,-21.566792745287483,-21.319366904120074,-21.316732657530295,-21.187687385022247,-21.3601902121668,-21.375793357895333,-21.26347105708773,-21.668933466036442,-21.42777952573912,-20.274411277483303,-21.189590248827514,-21.415263679203463,-21.092690315394737,-19.617075637824037,-21.05375967667838,-20.891662358654074,-20.97269994489645,-20.85967760443069,-20.992139622224457,-20.808269341039114,-21.287281001282263,-21.480321324582814,-20.984934764937673,-19.654937446152065,-20.92686417598764,-21.42625822494513,-20.83808204285495,-19.029185540814606,-20.618447015679546,-20.62553384534594,-20.600627959519514,-20.534637711394566,-20.710556126667868,-20.940866858331923,-21.805721486254555,-21.17943389253214,-20.900235759055022,-20.319030650902768,-21.036251678607254,-21.19769985026591,-21.196782976435465,-20.245195286322634,-20.736792441962663,-21.13713854240179,-21.182598844450418,-21.16178599510216,-21.384555231570708,-21.120290292253117,-21.4388880001106,-21.24614244235627,-21.23163176196639,-19.982597186316937,-20.860409173787083,-21.02458610462783,-20.8768520378784,-19.226793178779317,-20.456986152668946,-20.659716158974035,-20.311223873026886,-20.74285433152015,-21.12951048252852,-20.86139507521544,-20.957338234942064,-21.132190038619438,-21.062733603480474,-19.107729599088707,-20.740251771736503,-20.611715182956907,-20.424962460328935,-18.521069106643775,-20.26330646731177,-19.925882707888526,-20.393951246302436,-21.178985625803506,-20.98878543862171,-20.787031601735052,-20.798408138035914,-20.517959960395405,-20.7119408278363,-20.180469971499907,-20.564997538022425,-20.51063961306988,-20.19722882199164,-19.775302121343387,-20.324038693345784,-20.021442309097505,-20.40887491375679,-20.480204337851248,-20.306608277530497,-19.847786831014197,-20.060755712448895,-19.771885829820768,-20.262192630170574,-19.39685302757482,-20.051258602358388,-20.334923157583738,-20.349136708047208,0.0,-20.321386538620484,-20.750186703115872,-20.327429378477163,-20.259154746586407,-20.49453503589349,-20.304795127301063,-20.336556381634516,-20.536939357457975,-20.078913625468694,-18.819549109720185,-19.48196843416974,-20.11473766826382,-19.765181024651177,0.0,-20.663725615872856,-20.019896501565256,-20.082113922670622,-19.98570684239075,-19.86826396923744,-19.915354208317453,-19.72959203962764,-20.208300503205876,-19.372922801967157,-19.737298586383986,-19.68879186214121,-19.80690974200663,-19.54191196101202,-21.299193220323495,-20.07093534693739,-20.743331748607766,-21.042895118653348,-20.68142602322815,-21.27731432326572,-21.027925705101694,-21.26716651324614,-21.067311283918272,-21.249402372019453,-21.241415318196527,-20.856786999073243,-21.117617000256217
-21.511923946760657,-20.263260545961714,-19.675177614734437,-20.37497843778257,-21.61185894547557,-21.004697519649778,-21.407364982867104,-21.290919480059394,-21.170926686208617,-21.11544488693957,-21.01391670973659,-21.089995042342757,-21.323836948269367,-21.307552680226877,-21.762244739511825,-21.184610226717886,-19.313636298885772,-19.643199419579034,-21.23009514337899,-21.146797896891872,-21.202996356824737,-21.320146046012344,-21.127839689830317,-21.284123830003686,-21.09806002087191,-21.39997735700411,-20.47216723101828,-21.17892006874345,-21.430892222674473,-21.507572736171554,-20.502789351679596,-21.21906971644501,-21.212247421914526,-21.323049300724072,-21.420573312607218,-21.240829999247367,-21.38629252814352,-21.5325932686976,-21.414484828834723,-21.680844596275854,-20.305904310031984,-21.283358147907965,-21.760148739435095,-21.186726001547353,-19.83200582753461,-20.368314912791536,-20.570140083854866,-21.04809849888225,-21.096698497737123,-20.987183422485863,-20.90537265011531,-21.271535196138572,-21.196410989311183,-20.79875750019775,-19.907514935546168,-20.606312032707486,-21.51469448731232,-18.9870955024627,-19.131765389163647,-20.731373316276226,-20.730211047907368,-20.888136374321988,-20.740327753964323,-20.506379744992792,-20.748727856929605,-21.777632455412856,-21.506879544408022,-21.350660294385204,-20.602524632707414,-21.352646605391964,-21.403899744253216,-21.19016965207912,-19.830278201480574,-20.910125220598943,-20.873718349862656,-20.746215205203875,-21.160641791088054,-21.13813359960256,-21.64245140229124,-21.295233537671628,-21.03799546551356,-21.484483796806888,-19.777453839373415,-20.871374689098406,-21.09979672594563,-21.146105350804138,-19.138658911357865,-19.801830491919578,-20.36294209385381,-20.4140812674817,-20.794298643092496,-21.205118494662248,-21.12932100138244,-20.83734708091483,-20.913403855527356,-20.807553669459445,-19.57395301288022,-20.793773757253426,-20.713523840506305,-20.94386560005582,-19.37081011277091,-20.411581815160687,-19.931902610367857,-20.243093018850097,-20.989502745297195,-21.03049416582038,-20.72771104581866,-20.8698594267127,-20.757128649859244,-20.697691043451524,-19.89002037736295,-20.226169608989423,-20.809791277089587,-20.53886691172451,-18.974292314259397,-20.063970434059698,-20.111900371593542,-20.592465070650448,-20.451961527716385,-20.10043079695652,-20.368569642103253,-20.418869376603933,-19.928376997356686,-20.054626786705153,-19.12480097558266,-20.047661161584784,-20.318320586708538,-19.98679560194605,0.0,-20.29259481524136,-20.791981490070924,-20.479833487027303,-20.697663226240287,-20.374369610155313,-20.49624215896432,-20.08323585049861,-20.292908366302697,-20.13531182204335,-18.47872594046377,-19.72510289721241,-20.329826422605656,-20.201364286246513,0.0,-20.818231863801074,-19.910109429388307,-20.084065613752617,-20.01892818280732,-19.97234185768924,-19.706085616061273,-19.6669086188505,-19.901536732557563,-19.83089557663051,-19.40898618048051,-19.561749417414447,-20.055879990837482,-20.086412753197763,-21.53703192169783,-20.116973710703604,-21.03002803251662,-21.123777277815957,-20.723550706864135,-21.266899204639003,-20.87342506142019,-21.05657201086367,-21.219247330655122,-21.11877612475199,-21.07130528647403,-21.11034363986637,-21.21764355923263
-21.585126910393164,-20.9566188340711,-19.22588822206761,-21.145038278666608,-21.277800529889955,-21.137546777499978,-21.16793894078385,-21.236045770199347,-21.21848855173881,-21.290438734590907,-21.144083733335506,-21.036562229645348,-21.310694846147648,-21.609429596990736,-21.67144873093705,-21.40662832212388,-19.568849877411637,-21.16543696813941,-21.370679254990996,-21.233149746662004,-21.304565677378044,-21.06143667593981,-21.234425418080647,-21.332386678913743,-21.467491207238176,-21.287281001282263,-19.934407315918243,-20.533007079337153,-21.4428941010951,-21.36470485715119,-19.78999505810973,-21.337314181927788,-21.175959130216935,-21.375922519208828,-21.503862053888817,-21.109106618469497,-21.0634938395781,-21.553517283547954,-21.532888831032917,-21.472805363611798,-19.22506369298312,-21.374423043772182,-21.455830299557604,-21.21311329793773,-19.83576853481943,-21.110459424901823,-21.039061249383813,-20.6909133100768,-21.18537401624603,-21.18667171611238,-21.185230269034804,-21.361725565278526,-21.233390216040323,-21.347525944822515,-18.887669821167734,-20.993225592482062,-21.26599239280255,-20.962157964832613,-19.193679404529302,-20.734075371717253,-20.779218427756145,-20.704536361800276,-20.702172045528478,-20.831841874346885,-20.791981490070924,-21.70021504439758,-21.28195948993187,-21.36701630658625,-20.079522109223987,-21.180028887448046,-21.223752772756576,-20.973164594811756,-19.70521813884139,-20.966130769568654,-21.183280539276403,-20.89237889140672,-20.84817468189987,-21.26246426675108,-21.50832717709904,-21.268086551798227,-19.92196362664822,-21.22218291902002,-19.33790443282583,-20.53002456447312,-21.01044744125816,-20.82740527426865,-19.88371897941027,-20.837435288019087,-20.386796791181887,-20.458950847361763,-20.592465070650448,-20.882652010198335,-21.023463588712573,-20.88364869398912,-20.695542447134322,-20.971473125768142,-18.771660196725435,-20.41824383304366,-20.62927804036581,-20.371388821533863,-18.30935092369412,-20.236012854298856,-20.27232494259396,-20.115911263852233,-21.065993901698945,-20.79667780929491,-21.081371766693312,-21.107095789864783,-20.200406951466547,-20.797037226878093,-19.89188266543382,-20.229595279947787,-20.606121378160587,-20.36452758694867,-19.240942999382007,-20.12195392022349,-20.107869405937695,-20.4627338964104,-20.24891339595625,-20.16486250535496,-20.112249525059553,-20.194212060537883,-20.189888509967957,-20.300575795710053,-19.344619227723797,-19.86864375659775,-20.438982183007017,-20.060446236919994,0.0,-20.17025666732037,-20.763479533500117,-20.607708694142836,-20.40345970645394,-20.397548159271572,-20.22272051430027,-20.42168328370584,-19.32245578644212,-20.305518121108243,-18.898563648011837,-19.58826338634266,-19.947202423841674,-19.876721566898432,0.0,-20.557886618325373,-20.17024387993621,-20.068469533418437,-20.083516369023485,-20.01488969034775,-19.767319126303487,-20.181484182432857,-19.59210014087621,-19.565676829611505,-19.441100080824096,-19.59789714480153,-19.77111908226408,-19.541926588000575,-21.299697468018913,-20.15264885973923,-21.189152959581705,-21.107064801132182,-21.087715261936623,-21.06092711601832,-20.894222143463477,-21.10356952159152,-21.037347545039026,-21.22531160177943,-20.98864235335992,-21.027773584360595,-21.24376657274625
-21.59053657732458,-20.909551755169574,-19.387102317393236,-21.157107239709504,-21.248099780707136,-21.368211225119524,-21.33033835245746,-21.072267416503344,-21.353594558284897,-21.2635651287286,-21.303402709813604,-21.029164082658852,-21.485995652938726,-21.50756552405897,-21.799345116607327,-21.193841739856268,-19.46629719892269,-21.664690299244093,-21.308534642073116,-21.184345592118966,-20.946852448866764,-21.235867691085232,-21.17106222869497,-21.441330569544306,-21.34896987684058,-21.290336056541797,-20.566798866516795,-21.259626712552603,-21.338717777177447,-21.30542537512975,-20.01309977130544,-21.580088081047233,-20.741156335205375,-21.181104775268636,-21.404276916365816,-21.495144212626222,-21.385789791572996,-21.24879552508709,-21.482515030799,-21.384555231570708,-20.07604618183204,-21.522736752743455,-21.592146653406836,-21.46892104408486,-19.322019389798527,-20.993456624391634,-20.75230034284172,-20.74054474511808,-20.851655350698614,-21.130488534584913,-20.743008259032237,-21.20234077322397,-21.479919540914576,-20.89661093234633,-19.652286749703915,-21.13293407862784,-21.16617853788948,-20.800952684723025,-18.76397804460759,-21.08980158765442,-19.98977675677623,-20.530309718735946,-20.65527134669094,-20.458726736018907,-21.001772898054636,-21.58208147470747,-21.74720447234356,-21.554771896243864,-20.840233531284127,-21.078627385815295,-21.217775421920695,-21.449182896456072,-19.938582525715134,-20.83199977603324,-20.37689325952983,-20.706952402497848,-20.968138318663552,-21.32015855310238,-21.730226157060038,-21.579681530620327,-21.26270948742609,-21.40324708504851,-20.218675921670183,-20.89444032489346,-21.235432093904905,-20.95983734063726,-18.935594923267992,-20.66982699914437,-20.599566182660304,-20.434686418869475,-20.848881802944135,-20.988380465437956,-21.114432018296455,-20.805037623448634,-20.88310006494134,-20.8046303627437,-18.8939551220276,-20.79417436497056,-20.7463654234926,-20.416208170475677,-18.513820440636053,-20.450393748605357,-20.18728224747592,-20.361250462572325,-20.89173969978117,-20.868139050484448,-21.105571565919956,-20.91241289330197,-20.83092286454169,-20.851806566990867,-20.26041123671667,-20.24141061483708,-20.66410202054284,-20.40153715967719,-19.484503702314385,-20.45460923604802,-20.380097105008794,-20.544340507172144,-20.230552890638407,-20.31243941268106,-20.48546807681018,-20.27920598841037,-20.125424477946993,-20.0317899945169,-19.309765489934655,-19.855286359491885,-20.367566975384,-20.292355010547283,0.0,-20.50423572064308,-20.592465070650448,-20.72628912352599,-20.812781765318505,-20.43314535993461,-20.488212545238014,-20.269451620439597,-20.223892645694654,-20.033998814396522,-19.36472221763791,-19.911035495700006,-20.01811315094168,-20.063953955188175,0.0,-20.553370113496058,-20.210901278596737,-20.49121064267947,-21.036422934900106,-20.18800351652262,-19.88794832596407,-19.874001674599636,-20.007137377285595,-19.758550423765485,-19.822603170774038,-19.815626390939673,-19.868724315671848,-19.8978016841159,-21.186890072885717,-19.84313376059213,-21.001798516122825,-20.27842954071654,-21.28894829539059,-21.10665950726623,-21.09079041259274,-21.055905908139884,-21.200586024746748,-21.021232343842925,-21.283615772257747,-21.143764419038725,-21.32483345698578
