states,right 1,left 1,right 2,left 2,right 3,left 3
"(3, 2)",-1573.7162147042252,-1570.7837756810482,-1566.1280200390079,-1593.0109699266313,-1495.3773952139816,-1611.9399437173608
"(3, 3)",-1591.71920056535,-1617.072729532498,-1608.149297576507,-1631.0747350937427,-1557.8508161569268,-1688.1655838890697
"(3, 4)",-1499.7158569975966,-1647.9186503381868,-1520.8325713651795,-1676.4148962529855,-1485.4223897657666,-1655.2441999004727
"(3, 5)",-1545.6673917584883,-1596.031340108046,-1572.8383435561004,-1651.741254683485,-1586.194122392784,-1684.3031177849443
"(3, 6)",-1485.4224525351556,-1506.4167189941902,-1515.2364660374924,-1554.236530470915,-1525.7501431646879,-1644.0189169007454
"(3, 7)",-1693.09942024421,-1660.5186672233015,-1700.0208760188343,-1672.2143861714037,-1692.6778757620057,-1555.9281383043399
"(3, 8)",-1706.0019141920015,-1705.2566205465257,-1700.5081441202146,-1684.806073806284,-1716.8628617873942,-1552.8902750628395
"(3, 9)",-1722.563280323353,-1716.216363330074,-1719.6913044389723,-1717.5059737612053,-1716.4841857502256,-1631.7994804349457
"(3, 10)",-1723.1392313492513,-1721.0931702945406,-1723.0005395108806,-1715.7891778247783,-1721.217330728577,-1721.1331135175487
"(3, 11)",-1723.021649780156,-1719.8072006748564,-1718.3096639856537,-1719.254712909543,-1718.2269791272442,-1710.9006630051965
"(3, 12)",-1723.3501083072347,-1717.0764069475333,-1723.4238749713447,-1716.5655275038368,-1717.3330763948122,-1722.6815159118687
"(3, 13)",-1721.254862021025,-1722.8072479715486,-1718.3852725434683,-1724.5495274902473,-1717.545050394408,-1723.7621317779908
"(3, 14)",-1721.8728806217875,-1722.6260358410368,-1721.7848959032935,-1717.3319278350136,-1722.567526422813,-1718.6614520455116
"(3, 15)",-1720.900792623412,-1719.282014025471,-1720.4084153565639,-1715.0981904513194,-1721.1992529346442,-1717.0934677585926
"(3, 16)",-1724.4595099352346,-1721.5013621073706,-1726.2649408466923,-1723.8159586005586,-1728.0303894890974,-1728.0559847624077
"(3, 17)",-1721.166042311001,-1727.2562119106371,-1725.3820120994171,-1722.144529329087,-1720.8921277540928,-1719.3523934279146
"(3, 18)",-1724.7890218236662,-1717.299623164132,-1720.711907012726,-1716.07761831471,-1716.7019843485527,-1714.0112055779375
"(3, 19)",-1748.522693068954,-1750.0710130901286,-1754.2944476218793,-1751.8783811302942,-1749.068742319837,-1746.5760944137767
"(4, 0)",-1581.7199261831947,-1587.511393084186,-1580.5246173223513,-1590.4529409449744,-1569.6157433014625,-1583.800192928834
"(4, 1)",-1570.8232818196138,-1581.4352042804665,-1568.504560553719,-1590.3438474713566,-1550.590627405231,-1604.8095673817584
"(4, 2)",-1529.1338432925013,-1524.262401337146,-1523.7477635634639,-1549.1849287338089,-1503.810502219608,-1543.708408913685
"(4, 3)",-1516.7070543232385,-1543.735238952295,-1464.9203604191382,-1546.7549105336004,-1516.9497996359873,-1560.2895786023353
"(4, 4)",-1495.9867210762832,-1654.238248391428,-1497.5440664261168,-1604.334202114434,-1468.270513623,-1609.8192766383843
"(4, 5)",-1405.3630718536326,-1543.966953511173,-1459.9907080468722,-1623.863895009719,-1462.14982433029,-1576.2783922168642
"(4, 6)",-1499.5167371040334,-1430.4619276345181,-1461.3960774467114,-1552.5246527241293,-1522.8999568553827,-1628.1228788203255
"(4, 7)",-1437.3675567961875,-1399.4164867557902,-1510.9572863778767,-1431.5299018208307,-1444.5899714913655,-1553.6241074077896
"(4, 8)",-1560.2146624425086,-1437.7528211497859,-1550.7319786772375,-1543.303182124252,-1557.3359497183922,-1562.0773741807066
"(4, 9)",-1546.1189623733342,-1449.755863294846,-1567.9839770815822,-1553.6055120853998,-1562.2530581948374,-1555.6189293181897
"(4, 10)",-1563.6593207181402,-1559.239375401605,-1561.3807938250623,-1560.114350124474,-1558.1339239368094,-1549.7008667601347
"(4, 11)",-1560.305482883673,-1564.9750359461525,-1563.1785369658273,-1549.762776254572,-1561.0526742472514,-1559.3259949877936
"(4, 12)",-1560.0713081098231,-1561.1090268729833,-1557.48388783333,-1563.0833529933163,-1558.6687543921068,-1560.5639849856038
"(4, 13)",-1558.5571074682562,-1559.8502305637526,-1561.0622678289153,-1564.5678344604526,-1556.4842019709622,-1559.4982404250675
"(4, 14)",-1555.1457992344128,-1557.6671881077548,-1562.0248760558632,-1558.998461874689,-1557.5201374069395,-1562.0596602105234
"(4, 15)",-1555.5344557724193,-1557.3257673436967,-1554.4977149901238,-1558.69448989147,-1555.7774746730443,-1559.6045617047712
"(4, 16)",-1557.1202299731067,-1556.1686804142912,-1561.538707791841,-1563.8186239433817,-1560.4942247966212,-1561.7304917086556
"(4, 17)",-1552.4486819061576,-1560.1873354261738,-1558.3318031261524,-1556.175113424528,-1552.9471015207057,-1553.2909381692762
"(4, 18)",-1555.2308486397847,-1548.6730369029344,-1550.8815088502934,-1546.611571902127,-1547.0368262167763,-1553.8958957373557
"(4, 19)",-1586.52085351955,-1580.0813483418272,-1585.1453921053558,-1583.897894285444,-1579.7048057535985,-1579.996380658545
"(5, 0)",-1494.0588894806344,-1494.4166617207225,-1503.6875394987808,-1494.0624061283106,-1487.4805439318254,-1499.8421360380953
"(5, 1)",-1500.5218528023104,-1510.8613681528934,-1485.4767482522773,-1509.8860990674425,-1472.4086554317887,-1514.655269077736
"(5, 2)",-1485.0793730968912,-1510.401066158355,-1481.770402788975,-1525.0959037471287,-1436.994527028925,-1516.1939946534947
"(5, 3)",-1419.5897590446777,-1439.9795191159426,-1419.6515871048853,-1445.8140057910114,-1399.8348349419678,-1482.8052921508622
"(5, 4)",-1417.0755080379201,-1430.8997181560517,-1392.564256221262,-1433.133250204803,-1416.0973779786204,-1468.6849768987504
"(5, 5)",-1339.1149301082282,-1527.1564526066961,-1375.543518454117,-1528.603454043939,-1388.1701473828423,-1548.8815459925604
"(5, 6)",-1312.5418821196033,-1430.3706799011231,-1351.344189529268,-1553.6948503794047,-1355.498498659153,-1561.8793948935634
"(5, 7)",-1436.6582821305822,-1339.2000163452751,-1435.8226340864096,-1461.8211426451617,-1462.5288891088721,-1488.521811017098
"(5, 8)",-1454.2454986697458,-1443.8729417365532,-1466.2378683752127,-1340.4590131026207,-1463.1559935140338,-1461.9788364174037
"(5, 9)",-1425.3850824854312,-1473.8636371101286,-1465.2816252722594,-1472.533536845745,-1473.5624809741396,-1458.2663873522822
"(5, 10)",-1487.9741926136785,-1489.9781376652293,-1478.5882324693557,-1354.1968514552657,-1488.4351298711283,-1469.343402278485
"(5, 11)",-1490.1826954064666,-1493.8980219392788,-1487.702264065491,-1490.9847932684918,-1492.3396507494647,-1488.5371175960347
"(5, 12)",-1490.548856784537,-1490.8380461035636,-1494.793858097886,-1484.9350450919774,-1486.8039966920105,-1485.3843674472957
"(5, 13)",-1489.4462560358681,-1493.4974748363427,-1494.1496729750327,-1493.6843090201705,-1492.609457170279,-1485.8341666080755
"(5, 14)",-1490.9889120805192,-1494.0456132845395,-1497.390269988743,-1489.030767368239,-1489.278487707181,-1489.5321184851969
"(5, 15)",-1486.6185141570556,-1489.8255852409127,-1486.3360694025196,-1490.7915328568934,-1492.4764768224388,-1494.2479607422188
